Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;0; Device
1;11,2518; 04/10/2021 12:02:21 p, m,
2;11,2518;H;0;1,5;0;1;0;0;0;0;0;0
2;11,2518;L;0;1;0;1;0;0;0;0;0;0
2;11,2518;R;0;1;0;1;0;0;0;0;0;0
3;21,1838;H;0;1,5;0;1;0;0;0;0;0;0
3;21,1838;L;0;1;0;1;0;0;0;0;0;0
3;21,1838;R;0;1;0;1;0;0;0;0;0;0
4;42,5561;H;0;1,5;0;1;0;0;0;0;0;0
4;42,5561;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
4;42,5561;R;0;1;0;1;0;0;0;0;0;0
5;61,8197;H;0;1,5;0;1;0;0;0;0;0;0
5;61,8197;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
5;61,8197;R;0;1;0;1;0;0;0;0;0;0
6;80,9571;H;0;1,5;0;1;0;0;0;0;0;0
6;80,9571;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
6;80,9571;R;0;1;0;1;0;0;0;0;0;0
7;100,5792;H;0;1,5;0;1;0;0;0;0;0;0
7;100,5792;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
7;100,5792;R;0;1;0;1;0;0;0;0;0;0
8;122,301;H;0;1,5;0;1;0;0;0;0;0;0
8;122,301;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
8;122,301;R;0;1;0;1;0;0;0;0;0;0
9;141,4608;H;0;1,5;0;1;0;0;0;0;0;0
9;141,4608;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
9;141,4608;R;0;1;0;1;0;0;0;0;0;0
10;161,5064;H;0;1,5;0;1;0;0;0;0;0;0
10;161,5064;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
10;161,5064;R;0;1;0;1;0;0;0;0;0;0
11;181,907;H;0;1,5;0;1;0;0;0;0;0;0
11;181,907;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
11;181,907;R;0;1;0;1;0;0;0;0;0;0
12;201,02;H;0;1,5;0;1;0;0;0;0;0;0
12;201,02;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
12;201,02;R;0;1;0;1;0;0;0;0;0;0
13;222,7863;H;0;1,5;0;1;0;0;0;0;0;0
13;222,7863;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
13;222,7863;R;0;1;0;1;0;0;0;0;0;0
14;241,1156;H;0;1,5;0;1;0;0;0;0;0;0
14;241,1156;L;34,802;0,788;25,245;0,9099991;0,3469997;0,2219998;-0,04699995;40,72331;29,34626;5,187872
14;241,1156;R;0;1;0;1;0;0;0;0;0;0
