Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;0,6027; Device
1;20,4799; 20/04/2021 11:56:28 a, m,
2;21,4781;H;0;1,5;0;1;0;0;0;0;0;0
2;21,4781;L;0;1;0;1;0;0;0;0;0;0
2;21,4781;R;0;1;0;1;0;0;0;0;0;0
3;38,4782;H;0;1,5;0;1;0;0;0;0;0;0
3;38,4782;L;0;1;0;1;0;0;0;0;0;0
3;38,4782;R;0;1;0;1;0;0;0;0;0;0
4;58,3034;H;0;1,5;0;1;0;0;0;0;0;0
4;58,3034;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
4;58,3034;R;0;1;0;1;0;0;0;0;0;0
5;78,1173;H;0;1,5;0;1;0;0;0;0;0;0
5;78,1173;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
5;78,1173;R;0;1;0;1;0;0;0;0;0;0
6;97,9356;H;0;1,5;0;1;0;0;0;0;0;0
6;97,9356;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
6;97,9356;R;0;1;0;1;0;0;0;0;0;0
7;118,0227;H;0;1,5;0;1;0;0;0;0;0;0
7;118,0227;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
7;118,0227;R;0;1;0;1;0;0;0;0;0;0
8;136,8455;H;0;1,5;0;1;0;0;0;0;0;0
8;136,8455;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
8;136,8455;R;0;1;0;1;0;0;0;0;0;0
9;158,5425;H;0;1,5;0;1;0;0;0;0;0;0
9;158,5425;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
9;158,5425;R;0;1;0;1;0;0;0;0;0;0
10;177,8216;H;0;1,5;0;1;0;0;0;0;0;0
10;177,8216;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
10;177,8216;R;0;1;0;1;0;0;0;0;0;0
11;197,1225;H;0;1,5;0;1;0;0;0;0;0;0
11;197,1225;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
11;197,1225;R;0;1;0;1;0;0;0;0;0;0
12;218,1033;H;0;1,5;0;1;0;0;0;0;0;0
12;218,1033;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
12;218,1033;R;0;1;0;1;0;0;0;0;0;0
13;237,7473;H;0;1,5;0;1;0;0;0;0;0;0
13;237,7473;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
13;237,7473;R;0;1;0;1;0;0;0;0;0;0
14;259,232;H;0;1,5;0;1;0;0;0;0;0;0
14;259,232;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
14;259,232;R;0;1;0;1;0;0;0;0;0;0
15;278,285;H;0;1,5;0;1;0;0;0;0;0;0
15;278,285;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
15;278,285;R;0;1;0;1;0;0;0;0;0;0
16;299,1678;H;0;1,5;0;1;0;0;0;0;0;0
16;299,1678;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
16;299,1678;R;0;1;0;1;0;0;0;0;0;0
17;317,9743;H;0;1,5;0;1;0;0;0;0;0;0
17;317,9743;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
17;317,9743;R;0;1;0;1;0;0;0;0;0;0
18;338,6235;H;0;1,5;0;1;0;0;0;0;0;0
18;338,6235;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
18;338,6235;R;0;1;0;1;0;0;0;0;0;0
19;357,1979;H;0;1,5;0;1;0;0;0;0;0;0
19;357,1979;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
19;357,1979;R;0;1;0;1;0;0;0;0;0;0
20;379,2936;H;0;1,5;0;1;0;0;0;0;0;0
20;379,2936;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
20;379,2936;R;0;1;0;1;0;0;0;0;0;0
21;400,1353;H;0;1,5;0;1;0;0;0;0;0;0
21;400,1353;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
21;400,1353;R;0;1;0;1;0;0;0;0;0;0
22;416,9168;H;0;1,5;0;1;0;0;0;0;0;0
22;416,9168;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
22;416,9168;R;0;1;0;1;0;0;0;0;0;0
23;438,6358;H;0;1,5;0;1;0;0;0;0;0;0
23;438,6358;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
23;438,6358;R;0;1;0;1;0;0;0;0;0;0
24;459,2218;H;0;1,5;0;1;0;0;0;0;0;0
24;459,2218;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
24;459,2218;R;0;1;0;1;0;0;0;0;0;0
25;478,0171;H;0;1,5;0;1;0;0;0;0;0;0
25;478,0171;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
25;478,0171;R;0;1;0;1;0;0;0;0;0;0
26;497,6475;H;0;1,5;0;1;0;0;0;0;0;0
26;497,6475;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
26;497,6475;R;0;1;0;1;0;0;0;0;0;0
27;519,1661;H;0;1,5;0;1;0;0;0;0;0;0
27;519,1661;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
27;519,1661;R;0;1;0;1;0;0;0;0;0;0
28;537,9992;H;0;1,5;0;1;0;0;0;0;0;0
28;537,9992;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
28;537,9992;R;0;1;0;1;0;0;0;0;0;0
29;557,6021;H;0;1,5;0;1;0;0;0;0;0;0
29;557,6021;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
29;557,6021;R;0;1;0;1;0;0;0;0;0;0
30;579,0099;H;0;1,5;0;1;0;0;0;0;0;0
30;579,0099;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
30;579,0099;R;0;1;0;1;0;0;0;0;0;0
31;598,0691;H;0;1,5;0;1;0;0;0;0;0;0
31;598,0691;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
31;598,0691;R;0;1;0;1;0;0;0;0;0;0
32;617,1888;H;0;1,5;0;1;0;0;0;0;0;0
32;617,1888;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
32;617,1888;R;0;1;0;1;0;0;0;0;0;0
33;637,9672;H;0;1,5;0;1;0;0;0;0;0;0
33;637,9672;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
33;637,9672;R;0;1;0;1;0;0;0;0;0;0
34;656,9201;H;0;1,5;0;1;0;0;0;0;0;0
34;656,9201;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
34;656,9201;R;0;1;0;1;0;0;0;0;0;0
35;679,1974;H;0;1,5;0;1;0;0;0;0;0;0
35;679,1974;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
35;679,1974;R;0;1;0;1;0;0;0;0;0;0
36;697,9837;H;0;1,5;0;1;0;0;0;0;0;0
36;697,9837;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
36;697,9837;R;0;1;0;1;0;0;0;0;0;0
37;717,6644;H;0;1,5;0;1;0;0;0;0;0;0
37;717,6644;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
37;717,6644;R;0;1;0;1;0;0;0;0;0;0
38;737,3172;H;0;1,5;0;1;0;0;0;0;0;0
38;737,3172;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
38;737,3172;R;0;1;0;1;0;0;0;0;0;0
39;759,0625;H;0;1,5;0;1;0;0;0;0;0;0
39;759,0625;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
39;759,0625;R;35,467;0,953;24,973;0,9840419;-0,1450062;0,09700412;0,03500149;343,0118;10,89494;2,442277
40;777,6759;H;35,342;1,364;24,715;-0,03799905;0,01099972;0,02199945;0,998975;357,4329;1,164639;184,3306
40;777,6759;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
40;777,6759;R;35,467;0,953;24,973;0,9840419;-0,1450062;0,09700412;0,03500149;343,0118;10,89494;2,442277
41;798,1395;H;35,342;1,364;24,715;-0,03799905;0,01099972;0,02199945;0,998975;357,4329;1,164639;184,3306
41;798,1395;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
41;798,1395;R;35,467;0,953;24,973;0,9840419;-0,1450062;0,09700412;0,03500149;343,0118;10,89494;2,442277
42;817,0646;H;35,342;1,364;24,715;-0,03799905;0,01099972;0,02199945;0,998975;357,4329;1,164639;184,3306
42;817,0646;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
42;817,0646;R;35,467;0,953;24,973;0,9840419;-0,1450062;0,09700412;0,03500149;343,0118;10,89494;2,442277
43;837,7533;H;35,342;1,364;24,715;-0,03799905;0,01099972;0,02199945;0,998975;357,4329;1,164639;184,3306
43;837,7533;L;35,208;0,915;24,973;0,9837826;-0,1729618;0,04099094;0,0239947;339,9841;4,41633;2,014639
43;837,7533;R;35,467;0,953;24,973;0,9840419;-0,1450062;0,09700412;0,03500149;343,0118;10,89494;2,442277
44;858,1337;H;35,342;1,364;24,715;-0,03799905;0,01099972;0,02199945;0,998975;357,4329;1,164639;184,3306
44;858,1337;L;35,208;0,915;24,974;0,9836351;-0,1739355;0,0409848;0,02299147;339,8754;4,436419;1,890358
44;858,1337;R;35,467;0,953;24,973;0,9840419;-0,1450062;0,09700412;0,03500149;343,0118;10,89494;2,442277
45;878,8145;H;35,342;1,364;24,715;-0,03799905;0,01099972;0,02199945;0,998975;357,4329;1,164639;184,3306
45;878,8145;L;35,208;0,915;24,974;0,9836351;-0,1739355;0,0409848;0,02299147;339,8754;4,436419;1,890358
45;878,8145;R;35,466;0,953;24,974;0,9841018;-0,145015;0,09600993;0,03600372;343,0023;10,75908;2,578141
46;899,2088;H;35,342;1,365;24,714;-0,03899837;0,01099954;0,02099912;0,9989581;357,5463;1,166448;184,4463
46;899,2088;L;35,208;0,915;24,974;0,9836351;-0,1739355;0,0409848;0,02299147;339,8754;4,436419;1,890358
46;899,2088;R;35,466;0,953;24,974;0,9841018;-0,145015;0,09600993;0,03600372;343,0023;10,75908;2,578141
47;917,8681;H;35,342;1,365;24,714;-0,03899837;0,01099954;0,02099912;0,9989581;357,5463;1,166448;184,4463
47;917,8681;L;35,208;0,915;24,974;0,9836351;-0,1739355;0,0409848;0,02299147;339,8754;4,436419;1,890358
47;917,8681;R;35,466;0,953;24,974;0,9841018;-0,145015;0,09600993;0,03600372;343,0023;10,75908;2,578141
48;938,1366;H;35,342;1,365;24,714;-0,03899837;0,01099954;0,02099912;0,9989581;357,5463;1,166448;184,4463
48;938,1366;L;35,208;0,915;24,974;0,9836351;-0,1739355;0,0409848;0,02299147;339,8754;4,436419;1,890358
48;938,1366;R;35,466;0,953;24,974;0,9841018;-0,145015;0,09600993;0,03600372;343,0023;10,75908;2,578141
49;956,7636;H;35,342;1,365;24,714;-0,03899837;0,01099954;0,02099912;0,9989581;357,5463;1,166448;184,4463
49;956,7636;L;35,208;0,915;24,974;0,9836351;-0,1739355;0,0409848;0,02299147;339,8754;4,436419;1,890358
49;956,7636;R;35,466;0,953;24,974;0,9841018;-0,145015;0,09600993;0,03600372;343,0023;10,75908;2,578141
