Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;0; Device
1;16,0569; 21/01/2022 10:41:51
2;16,0569;H;0;1,5;0;1;0;0;0;0;0;0
2;16,0569;L;0;1;0;1;0;0;0;0;0;0
2;16,0569;R;0;1;0;1;0;0;0;0;0;0
3;21,0561;H;0;1,5;0;1;0;0;0;0;0;0
3;21,0561;L;0;1;0;1;0;0;0;0;0;0
3;21,0561;R;0;1;0;1;0;0;0;0;0;0
4;42,1601;H;0;1,5;0;1;0;0;0;0;0;0
4;42,1601;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
4;42,1601;R;0;1;0;1;0;0;0;0;0;0
5;61,6961;H;0;1,5;0;1;0;0;0;0;0;0
5;61,6961;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
5;61,6961;R;0;1;0;1;0;0;0;0;0;0
6;81,7444;H;0;1,5;0;1;0;0;0;0;0;0
6;81,7444;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
6;81,7444;R;0;1;0;1;0;0;0;0;0;0
7;102,835;H;0;1,5;0;1;0;0;0;0;0;0
7;102,835;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
7;102,835;R;0;1;0;1;0;0;0;0;0;0
8;121,8697;H;0;1,5;0;1;0;0;0;0;0;0
8;121,8697;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
8;121,8697;R;0;1;0;1;0;0;0;0;0;0
9;141,9303;H;0;1,5;0;1;0;0;0;0;0;0
9;141,9303;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
9;141,9303;R;0;1;0;1;0;0;0;0;0;0
10;160,466;H;0;1,5;0;1;0;0;0;0;0;0
10;160,466;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
10;160,466;R;0;1;0;1;0;0;0;0;0;0
11;182,0301;H;0;1,5;0;1;0;0;0;0;0;0
11;182,0301;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
11;182,0301;R;0;1;0;1;0;0;0;0;0;0
12;206,1217;H;0;1,5;0;1;0;0;0;0;0;0
12;206,1217;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
12;206,1217;R;0;1;0;1;0;0;0;0;0;0
13;223,1717;H;0;1,5;0;1;0;0;0;0;0;0
13;223,1717;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
13;223,1717;R;0;1;0;1;0;0;0;0;0;0
14;242,2216;H;0;1,5;0;1;0;0;0;0;0;0
14;242,2216;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
14;242,2216;R;0;1;0;1;0;0;0;0;0;0
15;262,2723;H;0;1,5;0;1;0;0;0;0;0;0
15;262,2723;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
15;262,2723;R;0;1;0;1;0;0;0;0;0;0
16;281,8462;H;0;1,5;0;1;0;0;0;0;0;0
16;281,8462;L;34,965;0,827;24,724;0,8957304;0,4408673;0,04398676;-0,03698887;52,47152;4,34834;357,4145
