Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;11,6929; Device
1;19,5892; 03/11/2021 10:39:07
2;19,5892;H;0;1,5;0;1;0;0;0;0;0;0
2;19,5892;L;0;1;0;1;0;0;0;0;0;0
2;19,5892;R;0;1;0;1;0;0;0;0;0;0
3;40,653;H;0;1,5;0;1;0;0;0;0;0;0
3;40,653;L;0;1;0;1;0;0;0;0;0;0
3;40,653;R;0;1;0;1;0;0;0;0;0;0
4;59,3616;H;0;1,5;0;1;0;0;0;0;0;0
4;59,3616;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
4;59,3616;R;0;1;0;1;0;0;0;0;0;0
5;79,6453;H;0;1,5;0;1;0;0;0;0;0;0
5;79,6453;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
5;79,6453;R;0;1;0;1;0;0;0;0;0;0
6;98,8956;H;0;1,5;0;1;0;0;0;0;0;0
6;98,8956;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
6;98,8956;R;0;1;0;1;0;0;0;0;0;0
7;119,1095;H;0;1,5;0;1;0;0;0;0;0;0
7;119,1095;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
7;119,1095;R;0;1;0;1;0;0;0;0;0;0
8;140,1657;H;0;1,5;0;1;0;0;0;0;0;0
8;140,1657;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
8;140,1657;R;0;1;0;1;0;0;0;0;0;0
9;159,3342;H;0;1,5;0;1;0;0;0;0;0;0
9;159,3342;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
9;159,3342;R;0;1;0;1;0;0;0;0;0;0
10;180,9239;H;0;1,5;0;1;0;0;0;0;0;0
10;180,9239;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
10;180,9239;R;0;1;0;1;0;0;0;0;0;0
11;200,6004;H;0;1,5;0;1;0;0;0;0;0;0
11;200,6004;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
11;200,6004;R;0;1;0;1;0;0;0;0;0;0
12;220,6916;H;0;1,5;0;1;0;0;0;0;0;0
12;220,6916;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
12;220,6916;R;0;1;0;1;0;0;0;0;0;0
13;240,2534;H;0;1,5;0;1;0;0;0;0;0;0
13;240,2534;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
13;240,2534;R;0;1;0;1;0;0;0;0;0;0
14;258,8165;H;0;1,5;0;1;0;0;0;0;0;0
14;258,8165;L;34,944;1,043;25,022;0,9884815;-0,1330648;-0,07203509;0,003001462;344,7737;351,4647;1,490877
14;258,8165;R;0;1;0;1;0;0;0;0;0;0
15;280,9045;H;0;1,5;0;1;0;0;0;0;0;0
