Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
28;520,7588;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
28;520,7588;R;0;1;0;1;0;0;0;0;0;0
29;541,239;H;0;1,5;0;1;0;0;0;0;0;0
29;541,239;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
29;541,239;R;0;1;0;1;0;0;0;0;0;0
30;560,8663;H;0;1,5;0;1;0;0;0;0;0;0
30;560,8663;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
30;560,8663;R;0;1;0;1;0;0;0;0;0;0
31;580,3839;H;0;1,5;0;1;0;0;0;0;0;0
31;580,3839;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
31;580,3839;R;35,115;0,5;24,882;-0,292022;0,01400106;0,7700582;-0,5670428;59,89808;248,1858;44,69371
32;600,3719;H;35,139;1,35;24,718;-0,02201446;-0,7314804;-0,009005914;0,6814475;2,549381;265,9654;180,9652
32;600,3719;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
32;600,3719;R;35,115;0,5;24,882;-0,292022;0,01400106;0,7700582;-0,5670428;59,89808;248,1858;44,69371
33;620,0462;H;35,139;1,35;24,718;-0,02201446;-0,7314804;-0,009005914;0,6814475;2,549381;265,9654;180,9652
33;620,0462;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
33;620,0462;R;35,115;0,5;24,882;-0,292022;0,01400106;0,7700582;-0,5670428;59,89808;248,1858;44,69371
34;641,68;H;35,139;1,35;24,718;-0,02201446;-0,7314804;-0,009005914;0,6814475;2,549381;265,9654;180,9652
34;641,68;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
34;641,68;R;35,115;0,5;24,882;-0,292022;0,01400106;0,7700582;-0,5670428;59,89808;248,1858;44,69371
35;661,4544;H;35,139;1,35;24,718;-0,02201446;-0,7314804;-0,009005914;0,6814475;2,549381;265,9654;180,9652
35;661,4544;L;35,094;0,52;24,539;0,7953158;0,5021994;-0,3391347;-0,01600636;51,99506;295,5504;323,5189
35;661,4544;R;35,115;0,5;24,882;-0,292022;0,01400106;0,7700582;-0,5670428;59,89808;248,1858;44,69371
36;680,713;H;35,139;1,35;24,718;-0,02201446;-0,7314804;-0,009005914;0,6814475;2,549381;265,9654;180,9652
36;680,713;L;35,092;0,521;24,538;0,794031;0,5030196;-0,3410133;-0,01400055;52,11806;295,1916;323,4926
36;680,713;R;35,115;0,5;24,882;-0,292022;0,01400106;0,7700582;-0,5670428;59,89808;248,1858;44,69371
37;699,973;H;35,139;1,35;24,718;-0,02201446;-0,7314804;-0,009005914;0,6814475;2,549381;265,9654;180,9652
37;699,973;L;35,092;0,521;24,538;0,794031;0,5030196;-0,3410133;-0,01400055;52,11806;295,1916;323,4926
37;699,973;R;35,118;0,5;24,882;-0,290037;0,0110014;0,7700981;-0,5680724;60,29192;247,9131;44,35604
38;721,3529;H;35,135;1,349;24,719;-0,01700138;-0,7310593;-0,008000649;0,6820552;2,05001;266,0396;180,659
38;721,3529;L;35,092;0,521;24,538;0,794031;0,5030196;-0,3410133;-0,01400055;52,11806;295,1916;323,4926
38;721,3529;R;35,118;0,5;24,882;-0,290037;0,0110014;0,7700981;-0,5680724;60,29192;247,9131;44,35604
39;740,9556;H;35,135;1,349;24,719;-0,01700138;-0,7310593;-0,008000649;0,6820552;2,05001;266,0396;180,659
39;740,9556;L;35,092;0,521;24,538;0,794031;0,5030196;-0,3410133;-0,01400055;52,11806;295,1916;323,4926
39;740,9556;R;35,118;0,5;24,882;-0,290037;0,0110014;0,7700981;-0,5680724;60,29192;247,9131;44,35604
40;759,6191;H;35,135;1,349;24,719;-0,01700138;-0,7310593;-0,008000649;0,6820552;2,05001;266,0396;180,659
40;759,6191;L;35,092;0,521;24,538;0,794031;0,5030196;-0,3410133;-0,01400055;52,11806;295,1916;323,4926
40;759,6191;R;35,118;0,5;24,882;-0,290037;0,0110014;0,7700981;-0,5680724;60,29192;247,9131;44,35604
41;780,3063;H;35,135;1,349;24,719;-0,01700138;-0,7310593;-0,008000649;0,6820552;2,05001;266,0396;180,659
41;780,3063;L;35,092;0,521;24,538;0,794031;0,5030196;-0,3410133;-0,01400055;52,11806;295,1916;323,4926
41;780,3063;R;35,118;0,5;24,882;-0,290037;0,0110014;0,7700981;-0,5680724;60,29192;247,9131;44,35604
42;800,9005;H;35,135;1,349;24,719;-0,01700138;-0,7310593;-0,008000649;0,6820552;2,05001;266,0396;180,659
42;800,9005;L;35,09;0,522;24,536;0,7930008;0,5040005;-0,3420004;-0,01300001;52,22792;294,9149;323,382
42;800,9005;R;35,118;0,5;24,882;-0,290037;0,0110014;0,7700981;-0,5680724;60,29192;247,9131;44,35604
43;820,529;H;35,135;1,349;24,719;-0,01700138;-0,7310593;-0,008000649;0,6820552;2,05001;266,0396;180,659
43;820,529;L;35,09;0,522;24,536;0,7930008;0,5040005;-0,3420004;-0,01300001;52,22792;294,9149;323,382
43;820,529;R;35,12;0,499;24,883;-0,2889593;0,00999859;0,7698914;-0,5689198;60,48593;247,8594;44,3194
44;840,9667;H;35,132;1,349;24,717;-0,01100173;-0,7421169;-0,01000158;0,6701055;1,703848;264,1618;179,9943
44;840,9667;L;35,09;0,522;24,536;0,7930008;0,5040005;-0,3420004;-0,01300001;52,22792;294,9149;323,382
44;840,9667;R;35,12;0,499;24,883;-0,2889593;0,00999859;0,7698914;-0,5689198;60,48593;247,8594;44,3194
45;860,4251;H;35,132;1,349;24,717;-0,01100173;-0,7421169;-0,01000158;0,6701055;1,703848;264,1618;179,9943
45;860,4251;L;35,09;0,522;24,536;0,7930008;0,5040005;-0,3420004;-0,01300001;52,22792;294,9149;323,382
45;860,4251;R;35,12;0,499;24,883;-0,2889593;0,00999859;0,7698914;-0,5689198;60,48593;247,8594;44,3194
46;880,5433;H;35,132;1,349;24,717;-0,01100173;-0,7421169;-0,01000158;0,6701055;1,703848;264,1618;179,9943
46;880,5433;L;35,09;0,522;24,536;0,7930008;0,5040005;-0,3420004;-0,01300001;52,22792;294,9149;323,382
46;880,5433;R;35,12;0,499;24,883;-0,2889593;0,00999859;0,7698914;-0,5689198;60,48593;247,8594;44,3194
47;899,4775;H;35,132;1,349;24,717;-0,01100173;-0,7421169;-0,01000158;0,6701055;1,703848;264,1618;179,9943
47;899,4775;L;35,089;0,522;24,536;0,7932817;0,504179;-0,3411211;-0,01200426;52,34674;295,0735;323,5406
47;899,4775;R;35,12;0,499;24,883;-0,2889593;0,00999859;0,7698914;-0,5689198;60,48593;247,8594;44,3194
48;920,4292;H;35,132;1,349;24,717;-0,01100173;-0,7421169;-0,01000158;0,6701055;1,703848;264,1618;179,9943
48;920,4292;L;35,089;0,522;24,536;0,7932817;0,504179;-0,3411211;-0,01200426;52,34674;295,0735;323,5406
48;920,4292;R;35,121;0,499;24,884;-0,2899384;0,007998302;0,7688367;-0,5698789;60,65091;248,1586;44,37262
49;939,5562;H;35,128;1,348;24,713;-0,006997688;-0,7617483;-0,007997357;0,647786;1,204567;260,7534;179,8213
49;939,5562;L;35,089;0,522;24,536;0,7932817;0,504179;-0,3411211;-0,01200426;52,34674;295,0735;323,5406
49;939,5562;R;35,121;0,499;24,884;-0,2899384;0,007998302;0,7688367;-0,5698789;60,65091;248,1586;44,37262
50;960,6219;H;35,128;1,348;24,713;-0,006997688;-0,7617483;-0,007997357;0,647786;1,204567;260,7534;179,8213
50;960,6219;L;35,089;0,522;24,536;0,7932817;0,504179;-0,3411211;-0,01200426;52,34674;295,0735;323,5406
50;960,6219;R;35,121;0,499;24,884;-0,2899384;0,007998302;0,7688367;-0,5698789;60,65091;248,1586;44,37262
51;980,8328;H;35,128;1,348;24,713;-0,006997688;-0,7617483;-0,007997357;0,647786;1,204567;260,7534;179,8213
51;980,8328;L;35,089;0,522;24,536;0,7932817;0,504179;-0,3411211;-0,01200426;52,34674;295,0735;323,5406
51;980,8328;R;35,121;0,499;24,884;-0,2899384;0,007998302;0,7688367;-0,5698789;60,65091;248,1586;44,37262
52;1000,5864;H;35,128;1,348;24,713;-0,006997688;-0,7617483;-0,007997357;0,647786;1,204567;260,7534;179,8213
52;1000,5864;L;35,089;0,522;24,536;0,7932817;0,504179;-0,3411211;-0,01200426;52,34674;295,0735;323,5406
52;1000,5864;R;35,121;0,499;24,884;-0,2899384;0,007998302;0,7688367;-0,5698789;60,65091;248,1586;44,37262
53;1019,7251;H;35,128;1,348;24,713;-0,006997688;-0,7617483;-0,007997357;0,647786;1,204567;260,7534;179,8213
53;1019,7251;L;35,089;0,52;24,538;0,7930198;0,5040126;-0,3420086;-0,01100028;52,35964;294,9905;323,6236
53;1019,7251;R;35,121;0,499;24,884;-0,2899384;0,007998302;0,7688367;-0,5698789;60,65091;248,1586;44,37262
54;1040,5258;H;35,128;1,348;24,713;-0,006997688;-0,7617483;-0,007997357;0,647786;1,204567;260,7534;179,8213
54;1040,5258;L;35,089;0,52;24,538;0,7930198;0,5040126;-0,3420086;-0,01100028;52,35964;294,9905;323,6236
54;1040,5258;R;35,12;0,498;24,884;-0,2899424;0,005998809;0,7688474;-0,5698869;60,78959;248,0621;44,11227
55;1060,957;H;35,125;1,347;24,71;-0,007995984;-0,7776093;-0,003997992;0,6286842;1,000576;257,9118;180,2198
55;1060,957;L;35,089;0,52;24,538;0,7930198;0,5040126;-0,3420086;-0,01100028;52,35964;294,9905;323,6236
55;1060,957;R;35,12;0,498;24,884;-0,2899424;0,005998809;0,7688474;-0,5698869;60,78959;248,0621;44,11227
56;1080,4612;H;35,125;1,347;24,71;-0,007995984;-0,7776093;-0,003997992;0,6286842;1,000576;257,9118;180,2198
56;1080,4612;L;35,089;0,52;24,538;0,7930198;0,5040126;-0,3420086;-0,01100028;52,35964;294,9905;323,6236
56;1080,4612;R;35,12;0,498;24,884;-0,2899424;0,005998809;0,7688474;-0,5698869;60,78959;248,0621;44,11227
57;1099,9754;H;35,125;1,347;24,71;-0,007995984;-0,7776093;-0,003997992;0,6286842;1,000576;257,9118;180,2198
57;1099,9754;L;35,089;0,52;24,538;0,7930198;0,5040126;-0,3420086;-0,01100028;52,35964;294,9905;323,6236
57;1099,9754;R;35,12;0,498;24,884;-0,2899424;0,005998809;0,7688474;-0,5698869;60,78959;248,0621;44,11227
58;1120,1761;H;35,125;1,347;24,71;-0,007995984;-0,7776093;-0,003997992;0,6286842;1,000576;257,9118;180,2198
58;1120,1761;L;35,087;0,52;24,538;0,792248;0,5051581;-0,3421071;-0,01100344;52,45663;294,7957;323,4287
58;1120,1761;R;35,12;0,498;24,884;-0,2899424;0,005998809;0,7688474;-0,5698869;60,78959;248,0621;44,11227
59;1140,8445;H;35,125;1,347;24,71;-0,007995984;-0,7776093;-0,003997992;0,6286842;1,000576;257,9118;180,2198
59;1140,8445;L;35,087;0,52;24,538;0,792248;0,5051581;-0,3421071;-0,01100344;52,45663;294,7957;323,4287
59;1140,8445;R;35,118;0,498;24,884;-0,289944;0,004999035;0,7688516;-0,56989;60,85889;248,0132;43,98151
60;1160,2575;H;35,121;1,347;24,708;-0,005001463;-0,7852297;-0,002000585;0,6191812;0,591993;256,515;180,1749
60;1160,2575;L;35,087;0,52;24,538;0,792248;0,5051581;-0,3421071;-0,01100344;52,45663;294,7957;323,4287
60;1160,2575;R;35,118;0,498;24,884;-0,289944;0,004999035;0,7688516;-0,56989;60,85889;248,0132;43,98151
61;1181,1001;H;35,121;1,347;24,708;-0,005001463;-0,7852297;-0,002000585;0,6191812;0,591993;256,515;180,1749
61;1181,1001;L;35,087;0,52;24,538;0,792248;0,5051581;-0,3421071;-0,01100344;52,45663;294,7957;323,4287
61;1181,1001;R;35,118;0,498;24,884;-0,289944;0,004999035;0,7688516;-0,56989;60,85889;248,0132;43,98151
62;1199,9468;H;35,121;1,347;24,708;-0,005001463;-0,7852297;-0,002000585;0,6191812;0,591993;256,515;180,1749
62;1199,9468;L;35,087;0,52;24,538;0,792248;0,5051581;-0,3421071;-0,01100344;52,45663;294,7957;323,4287
62;1199,9468;R;35,118;0,498;24,884;-0,289944;0,004999035;0,7688516;-0,56989;60,85889;248,0132;43,98151
63;1220,4707;H;35,121;1,347;24,708;-0,005001463;-0,7852297;-0,002000585;0,6191812;0,591993;256,515;180,1749
63;1220,4707;L;35,087;0,52;24,538;0,792248;0,5051581;-0,3421071;-0,01100344;52,45663;294,7957;323,4287
63;1220,4707;R;35,118;0,498;24,884;-0,289944;0,004999035;0,7688516;-0,56989;60,85889;248,0132;43,98151
64;1240,7912;H;35,121;1,347;24,708;-0,005001463;-0,7852297;-0,002000585;0,6191812;0,591993;256,515;180,1749
64;1240,7912;L;35,086;0,518;24,54;0,792899;0,5049356;-0,3409565;-0,009998726;52,5522;295,0634;323,6753
64;1240,7912;R;35,118;0,498;24,884;-0,289944;0,004999035;0,7688516;-0,56989;60,85889;248,0132;43,98151
65;1261,2164;H;35,121;1,347;24,708;-0,005001463;-0,7852297;-0,002000585;0,6191812;0,591993;256,515;180,1749
