Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;0; Device
1;12,6022; 15/11/2021 18:53:58
2;12,6022;H;0;1,5;0;1;0;0;0;0;0;0
2;12,6022;L;0;1;0;1;0;0;0;0;0;0
2;12,6022;R;0;1;0;1;0;0;0;0;0;0
3;28,4497;H;0;1,5;0;1;0;0;0;0;0;0
3;28,4497;L;0;1;0;1;0;0;0;0;0;0
3;28,4497;R;0;1;0;1;0;0;0;0;0;0
4;49,2886;H;0;1,5;0;1;0;0;0;0;0;0
4;49,2886;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
4;49,2886;R;0;1;0;1;0;0;0;0;0;0
5;70,648;H;0;1,5;0;1;0;0;0;0;0;0
5;70,648;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
5;70,648;R;0;1;0;1;0;0;0;0;0;0
6;90,2429;H;0;1,5;0;1;0;0;0;0;0;0
6;90,2429;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
6;90,2429;R;0;1;0;1;0;0;0;0;0;0
7;109,4834;H;0;1,5;0;1;0;0;0;0;0;0
7;109,4834;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
7;109,4834;R;0;1;0;1;0;0;0;0;0;0
8;130,3481;H;0;1,5;0;1;0;0;0;0;0;0
8;130,3481;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
8;130,3481;R;0;1;0;1;0;0;0;0;0;0
9;149,4539;H;0;1,5;0;1;0;0;0;0;0;0
9;149,4539;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
9;149,4539;R;0;1;0;1;0;0;0;0;0;0
10;168,3738;H;0;1,5;0;1;0;0;0;0;0;0
10;168,3738;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
10;168,3738;R;0;1;0;1;0;0;0;0;0;0
11;189,8369;H;0;1,5;0;1;0;0;0;0;0;0
11;189,8369;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
11;189,8369;R;0;1;0;1;0;0;0;0;0;0
12;209,5987;H;0;1,5;0;1;0;0;0;0;0;0
12;209,5987;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
12;209,5987;R;0;1;0;1;0;0;0;0;0;0
13;229,3199;H;0;1,5;0;1;0;0;0;0;0;0
13;229,3199;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
13;229,3199;R;0;1;0;1;0;0;0;0;0;0
14;250,0671;H;0;1,5;0;1;0;0;0;0;0;0
14;250,0671;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
14;250,0671;R;0;1;0;1;0;0;0;0;0;0
15;269,7859;H;0;1,5;0;1;0;0;0;0;0;0
15;269,7859;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
15;269,7859;R;0;1;0;1;0;0;0;0;0;0
16;289,0919;H;0;1,5;0;1;0;0;0;0;0;0
16;289,0919;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
16;289,0919;R;0;1;0;1;0;0;0;0;0;0
17;309,6948;H;0;1,5;0;1;0;0;0;0;0;0
17;309,6948;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
17;309,6948;R;0;1;0;1;0;0;0;0;0;0
18;329,0163;H;0;1,5;0;1;0;0;0;0;0;0
18;329,0163;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
18;329,0163;R;0;1;0;1;0;0;0;0;0;0
19;350,5852;H;0;1,5;0;1;0;0;0;0;0;0
19;350,5852;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
19;350,5852;R;0;1;0;1;0;0;0;0;0;0
20;368,4542;H;0;1,5;0;1;0;0;0;0;0;0
20;368,4542;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
20;368,4542;R;0;1;0;1;0;0;0;0;0;0
21;389,0425;H;0;1,5;0;1;0;0;0;0;0;0
21;389,0425;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
21;389,0425;R;0;1;0;1;0;0;0;0;0;0
22;410,492;H;0;1,5;0;1;0;0;0;0;0;0
22;410,492;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
22;410,492;R;0;1;0;1;0;0;0;0;0;0
23;429,4314;H;0;1,5;0;1;0;0;0;0;0;0
23;429,4314;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
23;429,4314;R;0;1;0;1;0;0;0;0;0;0
24;450,3896;H;0;1,5;0;1;0;0;0;0;0;0
24;450,3896;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
24;450,3896;R;0;1;0;1;0;0;0;0;0;0
25;469,5366;H;0;1,5;0;1;0;0;0;0;0;0
25;469,5366;L;34,813;0,818;25,031;0,7791169;0,13302;0,4010602;-0,4630695;35,36012;37,96966;311,066
25;469,5366;R;0;1;0;1;0;0;0;0;0;0
26;490,0106;H;0;1,5;0;1;0;0;0;0;0;0
