Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"12,09834","106,5833","179,1358"
"12,09834","106,5833","179,1358"
"12,09834","106,5833","179,1358"
"12,09834","106,5833","179,1358"
"12,09834","106,5833","179,1358"
"12,09834","106,5833","179,1358"
"15,44853","106,0538","181,0358"
"15,44853","106,0538","181,0358"
"15,44853","106,0538","181,0358"
"15,44853","106,0538","181,0358"
"15,44853","106,0538","181,0358"
"15,44853","106,0538","181,0358"
"16,975","107,6669","180,4185"
"16,975","107,6669","180,4185"
"16,975","107,6669","180,4185"
"16,975","107,6669","180,4185"
"16,975","107,6669","180,4185"
"15,61783","117,2228","177,9992"
"15,61783","117,2228","177,9992"
"15,61783","117,2228","177,9992"
"15,61783","117,2228","177,9992"
"15,61783","117,2228","177,9992"
"15,61783","117,2228","177,9992"
"13,68359","118,8416","178,9834"
"13,68359","118,8416","178,9834"
"13,68359","118,8416","178,9834"
"13,68359","118,8416","178,9834"
"13,68359","118,8416","178,9834"
"15,56769","110,8575","182,134"
"15,56769","110,8575","182,134"
"15,56769","110,8575","182,134"
"15,56769","110,8575","182,134"
"15,56769","110,8575","182,134"
"15,56769","110,8575","182,134"
"16,02856","109,6409","182,7922"
"16,02856","109,6409","182,7922"
"16,02856","109,6409","182,7922"
"16,02856","109,6409","182,7922"
"16,02856","109,6409","182,7922"
"16,02856","109,6409","182,7922"
"15,34262","112,2118","182,4462"
"15,34262","112,2118","182,4462"
"15,34262","112,2118","182,4462"
"15,34262","112,2118","182,4462"
"15,34262","112,2118","182,4462"
"15,9132","114,6218","180,3119"
"15,9132","114,6218","180,3119"
