Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"3,336233","11,4504","174,3393"
"3,336233","11,4504","174,3393"
"3,336233","11,4504","174,3393"
"3,336233","11,4504","174,3393"
"3,336233","11,4504","174,3393"
"3,336233","11,4504","174,3393"
"0,370964","3,079266","174,7372"
"0,370964","3,079266","174,7372"
"0,370964","3,079266","174,7372"
"0,370964","3,079266","174,7372"
"0,370964","3,079266","174,7372"
"0,370964","3,079266","174,7372"
"359,7204","358,0594","177,026"
"359,7204","358,0594","177,026"
"359,7204","358,0594","177,026"
"359,7204","358,0594","177,026"
"359,7204","358,0594","177,026"
"359,1126","356,1208","177,5069"
"359,1126","356,1208","177,5069"
"359,1126","356,1208","177,5069"
"359,1126","356,1208","177,5069"
"359,1126","356,1208","177,5069"
"359,1126","356,1208","177,5069"
"358,8052","356,2312","178,5482"
"358,8052","356,2312","178,5482"
"358,8052","356,2312","178,5482"
"358,8052","356,2312","178,5482"
"358,8052","356,2312","178,5482"
"358,8052","356,2312","178,5482"
"358,798","350,9307","180,7849"
"358,798","350,9307","180,7849"
"358,798","350,9307","180,7849"
"358,798","350,9307","180,7849"
"358,798","350,9307","180,7849"
"358,7015","341,7791","182,762"
"358,7015","341,7791","182,762"
"358,7015","341,7791","182,762"
"358,7015","341,7791","182,762"
"358,7015","341,7791","182,762"
"358,7015","341,7791","182,762"
"359,3596","330,2929","183,846"
"359,3596","330,2929","183,846"
"359,3596","330,2929","183,846"
"359,3596","330,2929","183,846"
"359,3596","330,2929","183,846"
"358,8804","319,1112","183,2296"
"358,8804","319,1112","183,2296"
