Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"2,549381","265,9654","180,9652"
"2,549381","265,9654","180,9652"
"2,549381","265,9654","180,9652"
"2,549381","265,9654","180,9652"
"2,549381","265,9654","180,9652"
"2,549381","265,9654","180,9652"
"2,05001","266,0396","180,659"
"2,05001","266,0396","180,659"
"2,05001","266,0396","180,659"
"2,05001","266,0396","180,659"
"2,05001","266,0396","180,659"
"2,05001","266,0396","180,659"
"1,703848","264,1618","179,9943"
"1,703848","264,1618","179,9943"
"1,703848","264,1618","179,9943"
"1,703848","264,1618","179,9943"
"1,703848","264,1618","179,9943"
"1,204567","260,7534","179,8213"
"1,204567","260,7534","179,8213"
"1,204567","260,7534","179,8213"
"1,204567","260,7534","179,8213"
"1,204567","260,7534","179,8213"
"1,204567","260,7534","179,8213"
"1,000576","257,9118","180,2198"
"1,000576","257,9118","180,2198"
"1,000576","257,9118","180,2198"
"1,000576","257,9118","180,2198"
"1,000576","257,9118","180,2198"
"0,591993","256,515","180,1749"
"0,591993","256,515","180,1749"
"0,591993","256,515","180,1749"
"0,591993","256,515","180,1749"
"0,591993","256,515","180,1749"
"0,591993","256,515","180,1749"
"0,3790654","256,5155","180,4449"
"0,3790654","256,5155","180,4449"
"0,3790654","256,5155","180,4449"
"0,3790654","256,5155","180,4449"
"0,3790654","256,5155","180,4449"
"0,3790654","256,5155","180,4449"
"0,03734547","256,765","180,3219"
"0,03734547","256,765","180,3219"
"0,03734547","256,765","180,3219"
"0,03734547","256,765","180,3219"
"0,03734547","256,765","180,3219"
"0,179796","256,6042","180,142"
"0,179796","256,6042","180,142"
"0,179796","256,6042","180,142"
"0,179796","256,6042","180,142"
"0,179796","256,6042","180,142"
"0,179796","256,6042","180,142"
