Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"357,4329","1,164639","184,3306"
"357,4329","1,164639","184,3306"
"357,4329","1,164639","184,3306"
"357,4329","1,164639","184,3306"
"357,4329","1,164639","184,3306"
"357,4329","1,164639","184,3306"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5463","1,166448","184,4463"
"357,5474","1,168946","184,3317"
"357,5474","1,168946","184,3317"
"357,5474","1,168946","184,3317"
"357,5474","1,168946","184,3317"
"357,5474","1,168946","184,3317"
"357,5474","1,168946","184,3317"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,4381","1,052652","184,2186"
"357,3195","1,163058","184,215"
"357,3195","1,163058","184,215"
"357,3195","1,163058","184,215"
"357,3195","1,163058","184,215"
"357,3195","1,163058","184,215"
"357,3195","1,163058","184,215"
"357,3216","1,168503","183,9858"
"357,3216","1,168503","183,9858"
"357,3216","1,168503","183,9858"
"357,3216","1,168503","183,9858"
"357,3216","1,168503","183,9858"
"357,3271","1,182079","183,4126"
"357,3271","1,182079","183,4126"
