Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"2,766407","355,7433","189,4245"
"2,766407","355,7433","189,4245"
"2,766407","355,7433","189,4245"
"2,766407","355,7433","189,4245"
"2,766407","355,7433","189,4245"
"2,766407","355,7433","189,4245"
"2,766407","355,7433","189,4245"
"2,887672","355,7519","189,5441"
"2,887672","355,7519","189,5441"
"2,887672","355,7519","189,5441"
"2,887672","355,7519","189,5441"
"2,887672","355,7519","189,5441"
"2,902277","355,5201","189,4233"
"2,902277","355,5201","189,4233"
"2,902277","355,5201","189,4233"
"2,902277","355,5201","189,4233"
"2,902277","355,5201","189,4233"
"2,902277","355,5201","189,4233"
"2,911567","355,4058","189,42"
"2,911567","355,4058","189,42"
"2,911567","355,4058","189,42"
"2,911567","355,4058","189,42"
"2,911567","355,4058","189,42"
