Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,521151","358,1741","183,1388"
"4,518083","358,2889","183,1434"
"4,518083","358,2889","183,1434"
"4,518083","358,2889","183,1434"
"4,518083","358,2889","183,1434"
"4,518083","358,2889","183,1434"
"4,518083","358,2889","183,1434"
"4,518083","358,2889","183,1434"
"4,518083","358,2889","183,1434"
"4,518083","358,2889","183,1434"
"4,408435","358,1755","183,2553"
"4,408435","358,1755","183,2553"
"4,408435","358,1755","183,2553"
"4,408435","358,1755","183,2553"
"4,406734","358,1711","183,1405"
"4,406734","358,1711","183,1405"
"4,406734","358,1711","183,1405"
"4,406734","358,1711","183,1405"
"4,406734","358,1711","183,1405"
"4,406734","358,1711","183,1405"
"4,406734","358,1711","183,1405"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,40797","358,0518","183,0213"
"4,404294","358,0429","182,7918"
"4,404294","358,0429","182,7918"
"4,404294","358,0429","182,7918"
"4,404294","358,0429","182,7918"
"4,404294","358,0429","182,7918"
"4,287996","358,0358","182,6789"
"4,287996","358,0358","182,6789"
"4,287996","358,0358","182,6789"
"4,287996","358,0358","182,6789"
