Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"2,324284","357,6237","175,9387"
"2,324284","357,6237","175,9387"
"2,324284","357,6237","175,9387"
"2,324284","357,6237","175,9387"
"2,324284","357,6237","175,9387"
"2,324284","357,6237","175,9387"
"2,339153","357,8597","176,287"
"2,339153","357,8597","176,287"
"2,339153","357,8597","176,287"
"2,339153","357,8597","176,287"
"2,339153","357,8597","176,287"
"2,339153","357,8597","176,287"
"2,341365","357,8619","176,4016"
"2,341365","357,8619","176,4016"
"2,341365","357,8619","176,4016"
"2,341365","357,8619","176,4016"
"2,341365","357,8619","176,4016"
"2,338944","357,6373","176,6262"
"2,338944","357,6373","176,6262"
"2,338944","357,6373","176,6262"
"2,338944","357,6373","176,6262"
"2,338944","357,6373","176,6262"
"2,338944","357,6373","176,6262"
"2,452574","357,5216","176,736"
"2,452574","357,5216","176,736"
"2,452574","357,5216","176,736"
"2,452574","357,5216","176,736"
"2,452574","357,5216","176,736"
"2,547287","356,6065","176,9428"
"2,547287","356,6065","176,9428"
"2,547287","356,6065","176,9428"
"2,547287","356,6065","176,9428"
"2,547287","356,6065","176,9428"
"2,547287","356,6065","176,9428"
"2,535607","356,0361","177,0452"
"2,535607","356,0361","177,0452"
"2,535607","356,0361","177,0452"
"2,535607","356,0361","177,0452"
"2,535607","356,0361","177,0452"
"2,535607","356,0361","177,0452"
"2,422266","355,9269","177,1614"
"2,422266","355,9269","177,1614"
"2,422266","355,9269","177,1614"
"2,422266","355,9269","177,1614"
"2,422266","355,9269","177,1614"
"2,532565","355,9215","177,0428"
"2,532565","355,9215","177,0428"
"2,532565","355,9215","177,0428"
"2,532565","355,9215","177,0428"
"2,532565","355,9215","177,0428"
"2,532565","355,9215","177,0428"
