Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"357,2614","0,4321031","176,3203"
"357,2614","0,4321031","176,3203"
"357,2614","0,4321031","176,3203"
"357,2614","0,4321031","176,3203"
"357,2614","0,4321031","176,3203"
"357,2614","0,4321031","176,3203"
"357,2614","0,4321031","176,3203"
"357,2578","0,3174507","176,3231"
"357,2578","0,3174507","176,3231"
"357,2578","0,3174507","176,3231"
"357,2578","0,3174507","176,3231"
"357,2578","0,3174507","176,3231"
"357,1359","0,09182008","176,3284"
"357,1359","0,09182008","176,3284"
"357,1359","0,09182008","176,3284"
"357,1359","0,09182008","176,3284"
"357,1359","0,09182008","176,3284"
"357,1359","0,09182008","176,3284"
"357,1285","359,8625","176,3341"
"357,1285","359,8625","176,3341"
"357,1285","359,8625","176,3341"
"357,1285","359,8625","176,3341"
"357,1285","359,8625","176,3341"
"357,1165","359,5272","175,9988"
"357,1165","359,5272","175,9988"
"357,1165","359,5272","175,9988"
"357,1165","359,5272","175,9988"
"357,1165","359,5272","175,9988"
"357,1165","359,5272","175,9988"
"357,1168","359,5243","176,1135"
"357,1168","359,5243","176,1135"
"357,1168","359,5243","176,1135"
"357,1168","359,5243","176,1135"
"357,1168","359,5243","176,1135"
"357,1168","359,5243","176,1135"
"357,0065","359,6398","176,2255"
"357,0065","359,6398","176,2255"
"357,0065","359,6398","176,2255"
"357,0065","359,6398","176,2255"
"357,0065","359,6398","176,2255"
"357,1134","359,4068","176,231"
"357,1134","359,4068","176,231"
"357,1134","359,4068","176,231"
"357,1134","359,4068","176,231"
"357,1134","359,4068","176,231"
"357,1134","359,4068","176,231"
"357,2921","357,9119","176,1508"
"357,2921","357,9119","176,1508"
"357,2921","357,9119","176,1508"
