Var11,Var12,Var13
"351,111","352,4949","139,526"
"351,111","352,4949","139,526"
"351,111","352,4949","139,526"
"350,3253","352,0018","136,0054"
"350,3253","352,0018","136,0054"
"350,3253","352,0018","136,0054"
"350,3253","352,0018","136,0054"
"350,3253","352,0018","136,0054"
"349,9607","352,1951","132,9723"
"349,9607","352,1951","132,9723"
"349,9607","352,1951","132,9723"
"349,9607","352,1951","132,9723"
"349,9607","352,1951","132,9723"
"349,9607","352,1951","132,9723"
"349,5851","352,5154","130,4404"
"349,5851","352,5154","130,4404"
"349,5851","352,5154","130,4404"
"349,5851","352,5154","130,4404"
"349,5851","352,5154","130,4404"
"349,2792","352,6848","128,0211"
"349,2792","352,6848","128,0211"
"349,2792","352,6848","128,0211"
"349,2792","352,6848","128,0211"
"349,2792","352,6848","128,0211"
"349,2792","352,6848","128,0211"
"349,2012","352,7802","126,9341"
"349,2012","352,7802","126,9341"
"349,2012","352,7802","126,9341"
"349,2012","352,7802","126,9341"
"349,2012","352,7802","126,9341"
"348,9005","352,5813","126,3013"
"348,9005","352,5813","126,3013"
"348,9005","352,5813","126,3013"
"348,9005","352,5813","126,3013"
"348,9005","352,5813","126,3013"
"348,9005","352,5813","126,3013"
"348,6666","352,0222","126,7333"
"348,6666","352,0222","126,7333"
"348,6666","352,0222","126,7333"
"348,6666","352,0222","126,7333"
"348,6666","352,0222","126,7333"
"348,6666","352,0222","126,7333"
"348,1379","351,4283","127,9687"
"348,1379","351,4283","127,9687"
"348,1379","351,4283","127,9687"
"348,1379","351,4283","127,9687"
"348,1379","351,4283","127,9687"
"347,4525","350,2552","129,0824"
"347,4525","350,2552","129,0824"
"347,4525","350,2552","129,0824"
"347,4525","350,2552","129,0824"
"347,4525","350,2552","129,0824"
"347,4525","350,2552","129,0824"
"346,7487","348,8637","129,7229"
"346,7487","348,8637","129,7229"
"346,7487","348,8637","129,7229"
"346,7487","348,8637","129,7229"
"346,7487","348,8637","129,7229"
"346,3538","347,5962","130,2288"
"346,3538","347,5962","130,2288"
"346,3538","347,5962","130,2288"
"346,3538","347,5962","130,2288"
"346,3538","347,5962","130,2288"
"346,3538","347,5962","130,2288"
"346,2894","346,8456","130,4319"
"346,2894","346,8456","130,4319"
"346,2894","346,8456","130,4319"
"346,2894","346,8456","130,4319"
"346,2894","346,8456","130,4319"
"347,0327","346,4879","132,8277"
"347,0327","346,4879","132,8277"
"347,0327","346,4879","132,8277"
"347,0327","346,4879","132,8277"
"347,0327","346,4879","132,8277"
"347,0327","346,4879","132,8277"
"349,5493","347,0507","138,6403"
"349,5493","347,0507","138,6403"
"349,5493","347,0507","138,6403"
"349,5493","347,0507","138,6403"
"349,5493","347,0507","138,6403"
"349,5493","347,0507","138,6403"
"354,3714","350,8275","149,225"
"354,3714","350,8275","149,225"
"354,3714","350,8275","149,225"
"354,3714","350,8275","149,225"
"354,3714","350,8275","149,225"
"357,9486","356,7386","161,1715"
"357,9486","356,7386","161,1715"
"357,9486","356,7386","161,1715"
"357,9486","356,7386","161,1715"
"357,9486","356,7386","161,1715"
"357,9486","356,7386","161,1715"
"358,9316","2,278172","170,1088"
"358,9316","2,278172","170,1088"
"358,9316","2,278172","170,1088"
"358,9316","2,278172","170,1088"
"358,9316","2,278172","170,1088"
"358,2351","4,498844","178,2102"
"358,2351","4,498844","178,2102"
"358,2351","4,498844","178,2102"
"358,2351","4,498844","178,2102"
"358,2351","4,498844","178,2102"
"358,2351","4,498844","178,2102"
"357,5374","4,029985","184,733"
"357,5374","4,029985","184,733"
"357,5374","4,029985","184,733"
"357,5374","4,029985","184,733"
"357,5374","4,029985","184,733"
"357,2762","2,173532","190,1608"
"357,2762","2,173532","190,1608"
"357,2762","2,173532","190,1608"
"357,2762","2,173532","190,1608"
"357,2762","2,173532","190,1608"
"357,2762","2,173532","190,1608"
"357,6179","0,6499411","193,0847"
"357,6179","0,6499411","193,0847"
"357,6179","0,6499411","193,0847"
"357,6179","0,6499411","193,0847"
"357,6179","0,6499411","193,0847"
"358,1379","0,1100436","194,4757"
"358,1379","0,1100436","194,4757"
"358,1379","0,1100436","194,4757"
"358,1379","0,1100436","194,4757"
"358,1379","0,1100436","194,4757"
"358,1379","0,1100436","194,4757"
"358,1407","1,837726","194,917"
"358,1407","1,837726","194,917"
"358,1407","1,837726","194,917"
"358,1407","1,837726","194,917"
"358,1407","1,837726","194,917"
"358,1407","1,837726","194,917"
"358,6536","6,067629","194,4205"
"358,6536","6,067629","194,4205"
"358,6536","6,067629","194,4205"
"358,6536","6,067629","194,4205"
"358,6536","6,067629","194,4205"
"359,2107","9,849304","194,4674"
"359,2107","9,849304","194,4674"
"359,2107","9,849304","194,4674"
"359,2107","9,849304","194,4674"
"359,2107","9,849304","194,4674"
"359,2107","9,849304","194,4674"
"358,8812","11,54381","194,4369"
"358,8812","11,54381","194,4369"
"358,8812","11,54381","194,4369"
"358,8812","11,54381","194,4369"
"358,8812","11,54381","194,4369"
"358,2307","11,23252","194,376"
"358,2307","11,23252","194,376"
"358,2307","11,23252","194,376"
"358,2307","11,23252","194,376"
"358,2307","11,23252","194,376"
"358,2307","11,23252","194,376"
"358,5359","9,882467","194,1805"
"358,5359","9,882467","194,1805"
"358,5359","9,882467","194,1805"
"358,5359","9,882467","194,1805"
"358,5359","9,882467","194,1805"
"358,8453","9,102975","194,429"
"358,8453","9,102975","194,429"
"358,8453","9,102975","194,429"
"358,8453","9,102975","194,429"
"358,8453","9,102975","194,429"
"358,8453","9,102975","194,429"
"359,1183","8,558866","194,7968"
"359,1183","8,558866","194,7968"
"359,1183","8,558866","194,7968"
"359,1183","8,558866","194,7968"
"359,1183","8,558866","194,7968"
"358,9117","8,183156","195,1266"
"358,9117","8,183156","195,1266"
"358,9117","8,183156","195,1266"
"358,9117","8,183156","195,1266"
"358,9117","8,183156","195,1266"
"358,9117","8,183156","195,1266"
"358,8864","8,302319","195,2528"
"358,8864","8,302319","195,2528"
"358,8864","8,302319","195,2528"
"358,8864","8,302319","195,2528"
"358,8864","8,302319","195,2528"
"358,8864","8,302319","195,2528"
"358,9188","8,067728","195,242"
"358,9188","8,067728","195,242"
"358,9188","8,067728","195,242"
"358,9188","8,067728","195,242"
"358,9188","8,067728","195,242"
"358,8432","7,71058","195,3541"
"358,8432","7,71058","195,3541"
"358,8432","7,71058","195,3541"
"358,8432","7,71058","195,3541"
"358,8432","7,71058","195,3541"
"358,9869","7,499175","195,3657"
"358,9869","7,499175","195,3657"
"358,9869","7,499175","195,3657"
"358,9869","7,499175","195,3657"
"358,9869","7,499175","195,3657"
"358,9869","7,499175","195,3657"
"358,9643","7,610445","195,477"
"358,9643","7,610445","195,477"
"358,9643","7,610445","195,477"
"358,9643","7,610445","195,477"
"358,9643","7,610445","195,477"
"359,1612","7,061045","195,3803"
"359,1612","7,061045","195,3803"
"359,1612","7,061045","195,3803"
"359,1612","7,061045","195,3803"
"359,1612","7,061045","195,3803"
"359,1612","7,061045","195,3803"
"359,2849","6,147717","195,3783"
"359,2849","6,147717","195,3783"
"359,2849","6,147717","195,3783"
"359,2849","6,147717","195,3783"
"359,2849","6,147717","195,3783"
"359,2849","6,147717","195,3783"
"359,8242","4,719213","195,4094"
"359,8242","4,719213","195,4094"
"359,8242","4,719213","195,4094"
"359,8242","4,719213","195,4094"
"359,8242","4,719213","195,4094"
"0,2600608","3,160192","195,6511"
"0,2600608","3,160192","195,6511"
"0,2600608","3,160192","195,6511"
"0,2600608","3,160192","195,6511"
"0,2600608","3,160192","195,6511"
"0,2600608","3,160192","195,6511"
"0,4004693","2,136137","195,6358"
"0,4004693","2,136137","195,6358"
"0,4004693","2,136137","195,6358"
"0,4004693","2,136137","195,6358"
"0,4004693","2,136137","195,6358"
"0,3409955","1,779788","195,1794"
"0,3409955","1,779788","195,1794"
"0,3409955","1,779788","195,1794"
"0,3409955","1,779788","195,1794"
"0,3409955","1,779788","195,1794"
"0,3409955","1,779788","195,1794"
"0,390648","1,436938","194,8233"
"0,390648","1,436938","194,8233"
"0,390648","1,436938","194,8233"
"0,390648","1,436938","194,8233"
"0,390648","1,436938","194,8233"
"0,390648","1,436938","194,8233"
"0,266966","1,535535","194,481"
"0,266966","1,535535","194,481"
"0,266966","1,535535","194,481"
"0,266966","1,535535","194,481"
"0,266966","1,535535","194,481"
"0,08527556","2,089715","194,2516"
"0,08527556","2,089715","194,2516"
"0,08527556","2,089715","194,2516"
"0,08527556","2,089715","194,2516"
"0,08527556","2,089715","194,2516"
"0,08527556","2,089715","194,2516"
"359,7731","2,857191","193,6617"
"359,7731","2,857191","193,6617"
"359,7731","2,857191","193,6617"
"359,7731","2,857191","193,6617"
"359,7731","2,857191","193,6617"
"359,3014","5,226686","192,7245"
"359,3014","5,226686","192,7245"
"359,3014","5,226686","192,7245"
"359,3014","5,226686","192,7245"
"359,3014","5,226686","192,7245"
"359,3014","5,226686","192,7245"
"358,9873","10,62615","190,8574"
"358,9873","10,62615","190,8574"
"358,9873","10,62615","190,8574"
"358,9873","10,62615","190,8574"
"358,9873","10,62615","190,8574"
"359,0951","16,19063","188,793"
"359,0951","16,19063","188,793"
"359,0951","16,19063","188,793"
"359,0951","16,19063","188,793"
"359,0951","16,19063","188,793"
"359,0951","16,19063","188,793"
"359,147","21,54997","187,5434"
"359,147","21,54997","187,5434"
"359,147","21,54997","187,5434"
"359,147","21,54997","187,5434"
"359,147","21,54997","187,5434"
"359,193","25,65842","186,6389"
"359,193","25,65842","186,6389"
"359,193","25,65842","186,6389"
"359,193","25,65842","186,6389"
"359,193","25,65842","186,6389"
"359,193","25,65842","186,6389"
"359,228","28,47837","185,8359"
"359,228","28,47837","185,8359"
"359,228","28,47837","185,8359"
"359,228","28,47837","185,8359"
"359,228","28,47837","185,8359"
"359,228","28,47837","185,8359"
"359,2769","30,48704","185,2669"
"359,2769","30,48704","185,2669"
"359,2769","30,48704","185,2669"
"359,2769","30,48704","185,2669"
"359,2769","30,48704","185,2669"
"359,3575","31,8034","184,3458"
"359,3575","31,8034","184,3458"
"359,3575","31,8034","184,3458"
"359,3575","31,8034","184,3458"
"359,3575","31,8034","184,3458"
"359,3575","31,8034","184,3458"
"359,4635","33,34246","182,59"
"359,4635","33,34246","182,59"
"359,4635","33,34246","182,59"
