Var1,Var2,Var3,Var11,Var12,Var13
135,"2646,5595","H","1,29522","324,7321","180,6704"
136,"2667,0917","H","1,29522","324,7321","180,6704"
137,"2687,006","H","2,172079","312,8329","180,6779"
138,"2707,4264","H","2,172079","312,8329","180,6779"
139,"2727,4721","H","2,172079","312,8329","180,6779"
140,"2747,4491","H","2,172079","312,8329","180,6779"
141,"2766,9667","H","2,172079","312,8329","180,6779"
142,"2786,1731","H","2,172079","312,8329","180,6779"
143,"2807,021","H","2,172079","312,8329","180,6779"
144,"2827,8344","H","2,172079","312,8329","180,6779"
145,"2846,7748","H","2,172079","312,8329","180,6779"
146,"2867,1898","H","2,172079","312,8329","180,6779"
147,"2886,9541","H","3,045839","310,0789","181,1112"
148,"2906,9694","H","3,045839","310,0789","181,1112"
149,"2927,0311","H","3,045839","310,0789","181,1112"
150,"2947,0487","H","3,045839","310,0789","181,1112"
151,"2966,2156","H","3,045839","310,0789","181,1112"
152,"2986,6166","H","3,045839","310,0789","181,1112"
153,"3007,3648","H","3,045839","310,0789","181,1112"
154,"3027,0168","H","3,045839","310,0789","181,1112"
155,"3046,9581","H","3,045839","310,0789","181,1112"
156,"3067,2952","H","3,045839","310,0789","181,1112"
157,"3086,6365","H","3,278188","313,8514","181,8443"
158,"3107,3337","H","3,278188","313,8514","181,8443"
159,"3126,9879","H","3,278188","313,8514","181,8443"
160,"3147,1353","H","3,278188","313,8514","181,8443"
161,"3167,7692","H","3,278188","313,8514","181,8443"
162,"3186,9505","H","3,278188","313,8514","181,8443"
163,"3206,0071","H","3,278188","313,8514","181,8443"
164,"3226,7028","H","3,278188","313,8514","181,8443"
165,"3245,5678","H","3,278188","313,8514","181,8443"
166,"3266,9428","H","3,278188","313,8514","181,8443"
167,"3286,5293","H","3,278188","313,8514","181,8443"
168,"3307,0803","H","3,278188","313,8514","181,8443"
169,"3326,7462","H","3,278188","313,8514","181,8443"
170,"3347,2022","H","3,278188","313,8514","181,8443"
171,"3365,9983","H","1,159185","325,4673","181,7993"
172,"3386,928","H","1,159185","325,4673","181,7993"
173,"3407,3311","H","1,159185","325,4673","181,7993"
174,"3426,4791","H","1,159185","325,4673","181,7993"
175,"3447,0381","H","1,189705","327,6108","182,0414"
176,"3467,7299","H","1,189705","327,6108","182,0414"
177,"3485,9868","H","1,189705","327,6108","182,0414"
178,"3505,9298","H","1,189705","327,6108","182,0414"
179,"3527,0633","H","1,189705","327,6108","182,0414"
180,"3547,7925","H","1,189705","327,6108","182,0414"
181,"3567,0917","H","2,069533","324,5203","182,7072"
182,"3587,6066","H","2,069533","324,5203","182,7072"
183,"3605,5941","H","2,069533","324,5203","182,7072"
184,"3626,9029","H","2,069533","324,5203","182,7072"
185,"3645,9531","H","2,069533","324,5203","182,7072"
186,"3667,5493","H","2,069533","324,5203","182,7072"
187,"3686,1123","H","2,069533","324,5203","182,7072"
