Var1,Var2,Var3,Var11,Var12,Var13
127,"2497,7143","H","352,1037","4,222742","185,4562"
128,"2515,8083","H","352,1037","4,222742","185,4562"
129,"2537,1553","H","354,379","21,09912","185,7264"
130,"2557,2695","H","354,379","21,09912","185,7264"
131,"2577,2891","H","354,379","21,09912","185,7264"
132,"2597,1547","H","354,379","21,09912","185,7264"
133,"2616,4118","H","354,379","21,09912","185,7264"
134,"2635,9311","H","354,379","21,09912","185,7264"
135,"2657,4835","H","354,379","21,09912","185,7264"
136,"2677,1498","H","354,379","21,09912","185,7264"
137,"2697,5616","H","354,379","21,09912","185,7264"
138,"2717,108","H","354,379","21,09912","185,7264"
139,"2737,0933","H","354,379","21,09912","185,7264"
140,"2756,7655","H","354,379","21,09912","185,7264"
141,"2776,0305","H","354,379","21,09912","185,7264"
142,"2796,7554","H","355,1233","20,2235","184,4883"
143,"2816,8368","H","355,1233","20,2235","184,4883"
144,"2835,9578","H","355,1233","20,2235","184,4883"
145,"2856,1388","H","355,1233","20,2235","184,4883"
146,"2876,8047","H","355,1233","20,2235","184,4883"
147,"2896,6869","H","355,1233","20,2235","184,4883"
148,"2916,4519","H","355,1233","20,2235","184,4883"
149,"2936,668","H","355,3854","18,0831","186,3528"
150,"2956,0917","H","355,3854","18,0831","186,3528"
151,"2978,1921","H","355,3854","18,0831","186,3528"
152,"2995,8153","H","355,3854","18,0831","186,3528"
153,"3015,9637","H","355,3854","18,0831","186,3528"
154,"3037,4519","H","355,3854","18,0831","186,3528"
155,"3056,2323","H","355,3854","18,0831","186,3528"
156,"3076,0852","H","355,3854","18,0831","186,3528"
157,"3097,2569","H","355,3854","18,0831","186,3528"
158,"3116,378","H","355,3854","18,0831","186,3528"
159,"3136,0294","H","355,3854","18,0831","186,3528"
160,"3155,3935","H","354,8093","9,250287","192,6161"
161,"3175,4112","H","354,8093","9,250287","192,6161"
162,"3196,6612","H","354,8093","9,250287","192,6161"
163,"3217,1511","H","354,8093","9,250287","192,6161"
164,"3236,886","H","354,8093","9,250287","192,6161"
165,"3255,5602","H","354,8093","9,250287","192,6161"
166,"3276,3918","H","354,8093","9,250287","192,6161"
167,"3297,06","H","354,8093","9,250287","192,6161"
168,"3315,2119","H","354,8093","9,250287","192,6161"
169,"3337,6247","H","354,8093","9,250287","192,6161"
170,"3356,8848","H","354,8093","9,250287","192,6161"
171,"3377,2563","H","353,9885","7,524381","195,5231"
172,"3396,6541","H","353,9885","7,524381","195,5231"
173,"3416,5687","H","353,9885","7,524381","195,5231"
174,"3436,278","H","353,6559","7,107332","196,1098"
175,"3457,8694","H","353,6559","7,107332","196,1098"
176,"3475,8423","H","353,6559","7,107332","196,1098"
177,"3497,3557","H","353,6559","7,107332","196,1098"
178,"3517,5015","H","353,6559","7,107332","196,1098"
179,"3536,8042","H","353,499","7,304357","196,3164"
180,"3557,4637","H","353,499","7,304357","196,3164"
181,"3576,5366","H","353,499","7,304357","196,3164"
182,"3596,6077","H","353,499","7,304357","196,3164"
183,"3617,1186","H","353,499","7,304357","196,3164"
184,"3635,8165","H","353,499","7,304357","196,3164"
185,"3657,578","H","353,4418","7,090965","195,8697"
186,"3676,7904","H","353,4418","7,090965","195,8697"
187,"3697,0177","H","353,4418","7,090965","195,8697"
188,"3717,01","H","353,4418","7,090965","195,8697"
189,"3737,0387","H","353,4418","7,090965","195,8697"
190,"3757,0049","H","353,4418","7,090965","195,8697"
191,"3776,4455","H","353,733","6,619736","194,2721"
192,"3797,1957","H","353,733","6,619736","194,2721"
193,"3815,868","H","353,733","6,619736","194,2721"
194,"3836,6099","H","353,733","6,619736","194,2721"
195,"3856,2264","H","353,733","6,619736","194,2721"
196,"3876,3262","H","354,3037","6,278479","193,1674"
197,"3896,0045","H","354,3037","6,278479","193,1674"
198,"3915,415","H","354,3037","6,278479","193,1674"
199,"3934,944","H","354,3037","6,278479","193,1674"
200,"3957,4672","H","354,3037","6,278479","193,1674"
