Var1,Var2,Var3,Var11,Var12,Var13
122,"2379,4398","H","358,3889","358,1728","179,5673"
123,"2398,7811","H","358,3889","358,1728","179,5673"
124,"2419,6457","H","358,3889","358,1728","179,5673"
125,"2438,4228","H","358,3889","358,1728","179,5673"
126,"2458,9396","H","358,3889","358,1728","179,5673"
127,"2479,5853","H","358,3889","358,1728","179,5673"
128,"2499,3397","H","358,3889","358,1728","179,5673"
129,"2519,2635","H","358,3889","358,1728","179,5673"
130,"2538,1061","H","358,3889","358,1728","179,5673"
131,"2559,0024","H","358,391","358,7457","179,5592"
132,"2578,6119","H","358,391","358,7457","179,5592"
133,"2600,0297","H","358,391","358,7457","179,5592"
134,"2619,6153","H","358,391","358,7457","179,5592"
135,"2639,129","H","358,391","358,7457","179,5592"
136,"2658,6809","H","358,391","358,7457","179,5592"
137,"2679,2155","H","358,5074","358,973","179,6696"
138,"2698,5645","H","358,5074","358,973","179,6696"
139,"2719,2305","H","358,5074","358,973","179,6696"
140,"2738,7187","H","358,5074","358,973","179,6696"
141,"2758,2724","H","358,5074","358,973","179,6696"
142,"2779,5164","H","358,5074","358,973","179,6696"
143,"2799,0388","H","358,5087","359,0861","179,7827"
144,"2818,5196","H","358,5087","359,0861","179,7827"
145,"2838,3133","H","358,5087","359,0861","179,7827"
146,"2859,4145","H","358,5087","359,0861","179,7827"
147,"2879,009","H","358,5087","359,0861","179,7827"
148,"2898,7236","H","358,5087","359,0861","179,7827"
149,"2919,3594","H","358,3943","359,2009","179,782"
150,"2938,4696","H","358,3943","359,2009","179,782"
151,"2957,6073","H","358,3943","359,2009","179,782"
152,"2979,3894","H","358,3943","359,2009","179,782"
153,"2999,0199","H","358,3943","359,2009","179,782"
154,"3018,9351","H","358,5097","359,1992","179,8958"
155,"3038,3747","H","358,5097","359,1992","179,8958"
156,"3059,6357","H","358,5097","359,1992","179,8958"
157,"3079,1709","H","358,5097","359,1992","179,8958"
158,"3097,8426","H","358,5097","359,1992","179,8958"
159,"3119,669","H","358,5097","359,1992","179,8958"
160,"3139,0194","H","358,5097","359,1992","179,8958"
161,"3158,3882","H","358,5097","359,1992","179,8958"
162,"3178,4304","H","358,5097","359,1992","179,8958"
163,"3198,1156","H","358,5097","359,1992","179,8958"
164,"3219,162","H","358,5097","359,1992","179,8958"
165,"3239,273","H","358,5097","359,1992","179,8958"
166,"3259,1565","H","358,5105","359,0831","180,0119"
167,"3278,302","H","358,5105","359,0831","180,0119"
168,"3298,1205","H","358,5105","359,0831","180,0119"
169,"3318,6179","H","358,5105","359,0831","180,0119"
170,"3338,7109","H","358,5105","359,0831","180,0119"
171,"3358,5313","H","358,5136","358,9641","180,3572"
172,"3377,9837","H","358,5136","358,9641","180,3572"
173,"3399,3699","H","358,5136","358,9641","180,3572"
174,"3419,5458","H","358,5136","358,9641","180,3572"
175,"3439,4629","H","358,5136","358,9641","180,3572"
176,"3459,9438","H","358,5136","358,9641","180,3572"
177,"3479,0915","H","358,5144","358,7349","180,3602"
178,"3497,3619","H","358,5144","358,7349","180,3602"
179,"3519,6881","H","358,5144","358,7349","180,3602"
180,"3539,4829","H","358,5144","358,7349","180,3602"
181,"3558,1017","H","358,5144","358,7349","180,3602"
182,"3578,9468","H","358,4002","358,6199","180,3631"
183,"3599,1274","H","358,4002","358,6199","180,3631"
184,"3618,6844","H","358,4002","358,6199","180,3631"
185,"3638,689","H","358,4002","358,6199","180,3631"
186,"3659,5031","H","358,4002","358,6199","180,3631"
187,"3679,5501","H","358,4002","358,6199","180,3631"
188,"3699,4782","H","358,3994","358,8491","180,3598"
189,"3719,2025","H","358,3994","358,8491","180,3598"
190,"3739,5052","H","358,3994","358,8491","180,3598"
191,"3760,6538","H","358,3994","358,8491","180,3598"
192,"3779,4377","H","358,3994","358,8491","180,3598"
193,"3799,2503","H","358,5136","358,9641","180,3572"
194,"3818,835","H","358,5136","358,9641","180,3572"
195,"3839,0061","H","358,5136","358,9641","180,3572"
196,"3858,5179","H","358,5136","358,9641","180,3572"
197,"3878,4902","H","358,5136","358,9641","180,3572"
198,"3897,8447","H","358,5136","358,9641","180,3572"
199,"3918,8565","H","358,5136","358,9641","180,3572"
200,"3938,1605","H","358,5136","358,9641","180,3572"
201,"3958,4343","H","358,5136","358,9641","180,3572"
202,"3978,9265","H","358,5136","358,9641","180,3572"
203,"3999,0588","H","358,5136","358,9641","180,3572"
204,"4019,5871","H","358,6309","358,8471","180,5867"
205,"4038,6429","H","358,6309","358,8471","180,5867"
206,"4059,1796","H","358,6309","358,8471","180,5867"
207,"4078,02","H","358,6309","358,8471","180,5867"
208,"4098,4863","H","358,6309","358,8471","180,5867"
209,"4119,768","H","358,6309","358,8471","180,5867"
210,"4138,4562","H","358,8623","358,846","180,8136"
211,"4158,9742","H","358,8623","358,846","180,8136"
212,"4178,8279","H","358,8623","358,846","180,8136"
213,"4199,4878","H","358,8623","358,846","180,8136"
214,"4219,1491","H","358,8623","358,846","180,8136"
215,"4238,6327","H","359,4368","359,1911","181,379"
216,"4259,7502","H","359,4368","359,1911","181,379"
217,"4279,7262","H","359,4368","359,1911","181,379"
218,"4298,7773","H","359,4368","359,1911","181,379"
219,"4318,6828","H","359,4368","359,1911","181,379"
220,"4338,6178","H","359,4368","359,1911","181,379"
221,"4358,6714","H","359,6702","359,4191","182,7513"
222,"4378,0474","H","359,6702","359,4191","182,7513"
223,"4398,8834","H","359,6702","359,4191","182,7513"
224,"4417,818","H","359,6702","359,4191","182,7513"
225,"4439,2121","H","359,6702","359,4191","182,7513"
226,"4458,2769","H","359,6702","359,4191","182,7513"
227,"4479,0583","H","359,9015","359,5377","184,0135"
228,"4498,8652","H","359,9015","359,5377","184,0135"
229,"4518,9183","H","359,9015","359,5377","184,0135"
230,"4538,6705","H","359,9015","359,5377","184,0135"
231,"4558,6898","H","359,9015","359,5377","184,0135"
232,"4578,5267","H","0,2578822","359,3226","184,8133"
233,"4597,6025","H","0,2578822","359,3226","184,8133"
234,"4619,8835","H","0,2578822","359,3226","184,8133"
235,"4639,4149","H","0,2578822","359,3226","184,8133"
236,"4659,8298","H","0,2578822","359,3226","184,8133"
237,"4678,6003","H","0,2578822","359,3226","184,8133"
238,"4698,5203","H","0,3723814","359,3274","184,8126"
239,"4719,4079","H","0,3723814","359,3274","184,8126"
240,"4738,5838","H","0,3723814","359,3274","184,8126"
241,"4759,3438","H","0,3723814","359,3274","184,8126"
242,"4778,847","H","0,3723814","359,3274","184,8126"
243,"4798,8018","H","0,4826035","359,4472","184,927"
244,"4819,7993","H","0,4826035","359,4472","184,927"
245,"4839,5047","H","0,4826035","359,4472","184,927"
246,"4858,1134","H","0,4826035","359,4472","184,927"
247,"4879,1791","H","0,4826035","359,4472","184,927"
248,"4898,9661","H","0,4826035","359,4472","184,927"
249,"4918,6923","H","0,7020181","359,6868","185,0419"
250,"4939,4417","H","0,7020181","359,6868","185,0419"
251,"4959,2276","H","0,7020181","359,6868","185,0419"
252,"4979,5135","H","0,7020181","359,6868","185,0419"
253,"4999,7049","H","0,7020181","359,6868","185,0419"
254,"5019,1962","H","0,7020181","359,6868","185,0419"
255,"5039,9853","H","0,7020181","359,6868","185,0419"
256,"5058,5845","H","0,7020181","359,6868","185,0419"
257,"5079,3711","H","0,7020181","359,6868","185,0419"
258,"5098,0097","H","0,7020181","359,6868","185,0419"
259,"5119,3202","H","0,7020181","359,6868","185,0419"
260,"5139,6746","H","0,7022993","359,6875","185,1564"
261,"5160,5234","H","0,7022993","359,6875","185,1564"
262,"5178,2495","H","0,7022993","359,6875","185,1564"
263,"5199,1119","H","0,7022993","359,6875","185,1564"
264,"5219,0091","H","0,7022993","359,6875","185,1564"
265,"5237,7468","H","0,4809853","359,5657","185,8431"
266,"5259,5736","H","0,4809853","359,5657","185,8431"
267,"5278,3328","H","0,4809853","359,5657","185,8431"
268,"5297,9429","H","0,4809853","359,5657","185,8431"
269,"5319,0259","H","0,4809853","359,5657","185,8431"
270,"5339,379","H","0,4809853","359,5657","185,8431"
271,"5358,7215","H","0,1563403","359,3206","186,9945"
272,"5379,0782","H","0,1563403","359,3206","186,9945"
273,"5399,743","H","0,1563403","359,3206","186,9945"
274,"5418,2777","H","0,1563403","359,3206","186,9945"
275,"5437,851","H","0,1563403","359,3206","186,9945"
276,"5458,4067","H","0,1563403","359,3206","186,9945"
277,"5478,3387","H","0,1609805","359,2056","186,651"
278,"5498,0879","H","0,1609805","359,2056","186,651"
279,"5518,882","H","0,1609805","359,2056","186,651"
280,"5538,3145","H","0,1609805","359,2056","186,651"
281,"5559,1525","H","0,1609805","359,2056","186,651"
282,"5579,4409","H","0,3008957","358,8708","187,2212"
283,"5600,1409","H","0,3008957","358,8708","187,2212"
284,"5617,5805","H","0,3008957","358,8708","187,2212"
285,"5638,573","H","0,3008957","358,8708","187,2212"
286,"5658,4963","H","0,3008957","358,8708","187,2212"
287,"5678,3051","H","0,3008957","358,8708","187,2212"
288,"5698,4633","H","0,2364597","358,2929","188,1432"
289,"5719,1405","H","0,2364597","358,2929","188,1432"
290,"5738,8411","H","0,2364597","358,2929","188,1432"
291,"5758,7088","H","0,2364597","358,2929","188,1432"
292,"5779,0982","H","0,2364597","358,2929","188,1432"
293,"5798,7774","H","0,04035997","357,8193","188,146"
294,"5818,5312","H","0,04035997","357,8193","188,146"
295,"5838,6684","H","0,04035997","357,8193","188,146"
296,"5859,8033","H","0,04035997","357,8193","188,146"
297,"5878,5615","H","0,04035997","357,8193","188,146"
298,"5899,1471","H","0,04035997","357,8193","188,146"
299,"5920,2809","H","0,09015357","357,4766","189,2967"
300,"5938,8336","H","0,09015357","357,4766","189,2967"
301,"5958,556","H","0,09015357","357,4766","189,2967"
302,"5978,3535","H","0,09015357","357,4766","189,2967"
303,"5998,0244","H","0,09015357","357,4766","189,2967"
304,"6018,874","H","0,197135","357,7163","189,866"
305,"6038,2735","H","0,197135","357,7163","189,866"
306,"6059,583","H","0,197135","357,7163","189,866"
307,"6078,9553","H","0,197135","357,7163","189,866"
308,"6098,7437","H","0,197135","357,7163","189,866"
309,"6118,0098","H","0,197135","357,7163","189,866"
310,"6139,9873","H","0,4117365","357,9661","190,2052"
311,"6157,7899","H","0,4117365","357,9661","190,2052"
312,"6178,5728","H","0,4117365","357,9661","190,2052"
313,"6198,9535","H","0,4117365","357,9661","190,2052"
314,"6219,9637","H","0,4117365","357,9661","190,2052"
315,"6237,2631","H","0,6092232","358,2101","189,5178"
316,"6257,5883","H","0,6092232","358,2101","189,5178"
317,"6279,1046","H","0,6092232","358,2101","189,5178"
318,"6297,7227","H","0,6092232","358,2101","189,5178"
319,"6319,5807","H","0,6092232","358,2101","189,5178"
320,"6339,5916","H","0,6092232","358,2101","189,5178"
321,"6358,3526","H","0,5957476","358,3244","189,2807"
322,"6378,6424","H","0,5957476","358,3244","189,2807"
323,"6398,7402","H","0,5957476","358,3244","189,2807"
324,"6419,5661","H","0,5957476","358,3244","189,2807"
325,"6437,9378","H","0,5957476","358,3244","189,2807"
326,"6458,3047","H","0,5957476","358,3244","189,2807"
327,"6480,2406","H","0,4766651","358,3134","188,9398"
328,"6499,0476","H","0,4766651","358,3134","188,9398"
329,"6518,8137","H","0,4766651","358,3134","188,9398"
330,"6538,547","H","0,4766651","358,3134","188,9398"
331,"6559,3311","H","0,4766651","358,3134","188,9398"
332,"6578,025","H","0,279678","357,8378","188,713"
333,"6599,0866","H","0,279678","357,8378","188,713"
334,"6618,6614","H","0,279678","357,8378","188,713"
335,"6638,4303","H","0,279678","357,8378","188,713"
336,"6659,1691","H","0,279678","357,8378","188,713"
337,"6678,5229","H","0,279678","357,8378","188,713"
338,"6699,2935","H","0,1733262","357,5992","188,2574"
339,"6719,1272","H","0,1733262","357,5992","188,2574"
340,"6738,5259","H","0,1733262","357,5992","188,2574"
341,"6759,958","H","0,1733262","357,5992","188,2574"
342,"6779,3342","H","0,1733262","357,5992","188,2574"
343,"6798,0924","H","359,7244","357,4519","188,2672"
344,"6818,8909","H","359,7244","357,4519","188,2672"
345,"6839,1287","H","359,7244","357,4519","188,2672"
346,"6858,6","H","359,7244","357,4519","188,2672"
347,"6879,4346","H","359,7244","357,4519","188,2672"
348,"6898,6976","H","359,7244","357,4519","188,2672"
349,"6918,5572","H","359,4038","357,1977","188,5043"
350,"6938,8378","H","359,4038","357,1977","188,5043"
351,"6959,7955","H","359,4038","357,1977","188,5043"
352,"6978,5004","H","359,4038","357,1977","188,5043"
353,"6998,8982","H","359,4038","357,1977","188,5043"
