Var1,Var2,Var3,Var11,Var12,Var13
197,"3891,5095","H","5,52002","3,246037","133,3975"
198,"3911,4603","H","5,52002","3,246037","133,3975"
199,"3931,9473","H","3,083185","1,289789","163,4664"
200,"3951,5736","H","3,083185","1,289789","163,4664"
201,"3971,4639","H","3,083185","1,289789","163,4664"
202,"3992,1648","H","3,083185","1,289789","163,4664"
203,"4012,0568","H","3,083185","1,289789","163,4664"
204,"4030,6581","H","3,083185","1,289789","163,4664"
205,"4051,522","H","3,083185","1,289789","163,4664"
206,"4071,2256","H","3,083185","1,289789","163,4664"
207,"4091,9086","H","3,083185","1,289789","163,4664"
208,"4111,4226","H","3,083185","1,289789","163,4664"
209,"4131,9289","H","3,083185","1,289789","163,4664"
210,"4151,9277","H","3,083185","1,289789","163,4664"
211,"4170,6657","H","3,083185","1,289789","163,4664"
212,"4190,8964","H","2,539744","0,153799","171,3994"
213,"4211,633","H","2,539744","0,153799","171,3994"
214,"4231,8079","H","2,539744","0,153799","171,3994"
215,"4252,5794","H","2,539744","0,153799","171,3994"
216,"4271,7604","H","2,539744","0,153799","171,3994"
217,"4292,3486","H","2,539744","0,153799","171,3994"
218,"4311,5368","H","1,576625","359,4521","173,5692"
219,"4331,8939","H","1,576625","359,4521","173,5692"
220,"4351,7174","H","1,576625","359,4521","173,5692"
221,"4370,7705","H","1,576625","359,4521","173,5692"
222,"4392,1186","H","1,576625","359,4521","173,5692"
223,"4411,8877","H","1,607334","358,3895","171,7163"
224,"4431,4872","H","1,607334","358,3895","171,7163"
225,"4451,4176","H","1,607334","358,3895","171,7163"
226,"4471,3503","H","1,607334","358,3895","171,7163"
227,"4492,5054","H","1,607334","358,3895","171,7163"
228,"4512,5276","H","1,607334","358,3895","171,7163"
229,"4532,3958","H","2,194645","357,0764","156,1549"
230,"4550,9264","H","2,194645","357,0764","156,1549"
231,"4570,4791","H","2,194645","357,0764","156,1549"
232,"4591,7387","H","2,194645","357,0764","156,1549"
233,"4612,3698","H","2,194645","357,0764","156,1549"
234,"4631,2706","H","1,839311","357,2018","142,7225"
235,"4651,7347","H","1,839311","357,2018","142,7225"
236,"4672,0776","H","1,839311","357,2018","142,7225"
237,"4692,4142","H","1,839311","357,2018","142,7225"
238,"4711,6177","H","1,839311","357,2018","142,7225"
239,"4731,9343","H","1,839311","357,2018","142,7225"
240,"4751,8552","H","2,267647","357,1506","133,3808"
241,"4772,2467","H","2,267647","357,1506","133,3808"
242,"4792,1315","H","2,267647","357,1506","133,3808"
243,"4811,4328","H","2,267647","357,1506","133,3808"
244,"4831,9457","H","2,267647","357,1506","133,3808"
245,"4851,3639","H","2,269381","357,0253","129,3741"
246,"4872,2788","H","2,269381","357,0253","129,3741"
247,"4892,6244","H","2,269381","357,0253","129,3741"
248,"4910,9301","H","2,269381","357,0253","129,3741"
249,"4932,0587","H","2,269381","357,0253","129,3741"
250,"4951,8738","H","2,269381","357,0253","129,3741"
251,"4972,593","H","2,576746","357,1955","127,473"
252,"4991,9612","H","2,576746","357,1955","127,473"
253,"5011,1383","H","2,576746","357,1955","127,473"
254,"5031,6565","H","2,576746","357,1955","127,473"
255,"5052,0322","H","2,576746","357,1955","127,473"
256,"5071,8943","H","2,576746","357,1955","127,473"
257,"5090,3548","H","2,854707","357,5236","126,1932"
258,"5112,5671","H","2,854707","357,5236","126,1932"
