Var1,Var2,Var3,Var11,Var12,Var13
154,"3028,4412","H","358,1899","108,0957","178,4805"
155,"3047,1216","H","358,1899","108,0957","178,4805"
156,"3067,3813","H","359,0547","26,96018","180,0092"
157,"3087,6096","H","359,0547","26,96018","180,0092"
158,"3108,2832","H","359,0547","26,96018","180,0092"
159,"3128,7927","H","359,0547","26,96018","180,0092"
160,"3148,0471","H","359,0547","26,96018","180,0092"
161,"3168,9407","H","359,0547","26,96018","180,0092"
162,"3188,2848","H","359,0547","26,96018","180,0092"
163,"3208,5022","H","359,0547","26,96018","180,0092"
164,"3227,6195","H","359,0547","26,96018","180,0092"
165,"3247,9594","H","359,0547","26,96018","180,0092"
166,"3267,9479","H","359,0547","26,96018","180,0092"
167,"3288,8334","H","359,0547","26,96018","180,0092"
168,"3307,9938","H","359,0547","26,96018","180,0092"
169,"3328,1307","H","359,0547","26,96018","180,0092"
170,"3347,2923","H","359,0547","26,96018","180,0092"
171,"3367,6307","H","359,0547","26,96018","180,0092"
172,"3387,5662","H","359,0547","26,96018","180,0092"
173,"3407,1183","H","359,0547","26,96018","180,0092"
174,"3429,0027","H","359,0547","26,96018","180,0092"
175,"3448,4133","H","359,0547","26,96018","180,0092"
176,"3467,9612","H","359,0547","26,96018","180,0092"
177,"3488,8747","H","359,0547","26,96018","180,0092"
178,"3508,5655","H","359,0547","26,96018","180,0092"
179,"3529,0887","H","359,0547","26,96018","180,0092"
180,"3548,4389","H","359,0547","26,96018","180,0092"
181,"3568,1502","H","359,0547","26,96018","180,0092"
182,"3587,6347","H","359,0547","26,96018","180,0092"
183,"3607,8816","H","359,0547","26,96018","180,0092"
184,"3628,9384","H","359,0547","26,96018","180,0092"
185,"3648,8379","H","359,0547","26,96018","180,0092"
186,"3668,3241","H","359,0547","26,96018","180,0092"
187,"3687,982","H","359,0547","26,96018","180,0092"
188,"3708,706","H","359,0547","26,96018","180,0092"
189,"3727,5598","H","359,0547","26,96018","180,0092"
190,"3747,4307","H","359,0547","26,96018","180,0092"
191,"3767,3336","H","359,0547","26,96018","180,0092"
192,"3787,5204","H","359,0547","26,96018","180,0092"
193,"3808,1545","H","359,0547","26,96018","180,0092"
194,"3827,3814","H","359,0547","26,96018","180,0092"
195,"3848,4243","H","359,0547","26,96018","180,0092"
196,"3867,4739","H","359,0547","26,96018","180,0092"
197,"3888,0435","H","359,0547","26,96018","180,0092"
198,"3908,0092","H","359,0547","26,96018","180,0092"
199,"3928,363","H","359,0547","26,96018","180,0092"
200,"3947,9147","H","359,0547","26,96018","180,0092"
201,"3967,5708","H","359,0547","26,96018","180,0092"
202,"3988,0383","H","359,0547","26,96018","180,0092"
203,"4008,97","H","359,0547","26,96018","180,0092"
204,"4028,0078","H","359,0547","26,96018","180,0092"
205,"4048,1521","H","359,0547","26,96018","180,0092"
206,"4068,5133","H","359,0547","26,96018","180,0092"
207,"4087,9918","H","359,0547","26,96018","180,0092"
208,"4107,5895","H","359,0547","26,96018","180,0092"
209,"4128,6228","H","359,0547","26,96018","180,0092"
210,"4147,8512","H","359,0547","26,96018","180,0092"
211,"4167,8673","H","359,0547","26,96018","180,0092"
212,"4188,9608","H","359,4158","23,06925","179,9977"
213,"4208,7598","H","359,4158","23,06925","179,9977"
214,"4227,4033","H","359,4158","23,06925","179,9977"
215,"4247,6234","H","359,4158","23,06925","179,9977"
216,"4268,3085","H","359,4158","23,06925","179,9977"
217,"4288,1836","H","359,4158","23,06925","179,9977"
218,"4308,0435","H","359,6423","18,64194","180,0574"
219,"4328,7276","H","359,6423","18,64194","180,0574"
220,"4348,2226","H","359,6423","18,64194","180,0574"
221,"4367,6231","H","359,6423","18,64194","180,0574"
222,"4388,7955","H","359,6423","18,64194","180,0574"
223,"4409,2671","H","359,6423","18,64194","180,0574"
224,"4427,7437","H","359,584","15,05861","180,5232"
225,"4447,1197","H","359,584","15,05861","180,5232"
226,"4468,5209","H","359,584","15,05861","180,5232"
227,"4486,4281","H","359,584","15,05861","180,5232"
228,"4507,5274","H","359,584","15,05861","180,5232"
229,"4527,6827","H","359,5575","12,6264","180,8733"
230,"4548,2314","H","359,5575","12,6264","180,8733"
231,"4568,5395","H","359,5575","12,6264","180,8733"
232,"4588,6835","H","359,5575","12,6264","180,8733"
233,"4608,742","H","359,5575","12,6264","180,8733"
234,"4628,7753","H","359,5575","12,6264","180,8733"
235,"4647,7556","H","359,4702","13,087","179,5934"
236,"4668,0857","H","359,4702","13,087","179,5934"
237,"4688,2097","H","359,4702","13,087","179,5934"
238,"4708,1225","H","359,4702","13,087","179,5934"
239,"4728,8182","H","359,4702","13,087","179,5934"
240,"4749,3962","H","359,9278","17,38062","177,4377"
241,"4767,5919","H","359,9278","17,38062","177,4377"
242,"4787,2735","H","359,9278","17,38062","177,4377"
243,"4806,9813","H","359,9278","17,38062","177,4377"
