Var1,Var2,Var3,Var11,Var12,Var13
123,"2405,5404","H","2,575193","353,0656","182,7139"
124,"2426,6019","H","2,575193","353,0656","182,7139"
125,"2447,607","H","2,575193","353,0656","182,7139"
126,"2465,4351","H","2,575193","353,0656","182,7139"
127,"2486,6563","H","2,458931","352,8317","182,6011"
128,"2506,3557","H","2,458931","352,8317","182,6011"
129,"2526,8086","H","2,458931","352,8317","182,6011"
130,"2546,4199","H","2,458931","352,8317","182,6011"
131,"2566,9806","H","2,458931","352,8317","182,6011"
132,"2587,6107","H","2,458931","352,8317","182,6011"
133,"2607,1871","H","2,458931","352,8317","182,6011"
134,"2626,5594","H","2,349629","352,7076","182,6082"
135,"2647,0854","H","2,349629","352,7076","182,6082"
136,"2665,6451","H","2,349629","352,7076","182,6082"
137,"2686,2529","H","2,349629","352,7076","182,6082"
138,"2706,36","H","2,349629","352,7076","182,6082"
139,"2725,7979","H","2,463992","352,7101","182,601"
140,"2745,4735","H","2,463992","352,7101","182,601"
141,"2766,0547","H","2,463992","352,7101","182,601"
142,"2786,2535","H","2,463992","352,7101","182,601"
143,"2807,7195","H","2,463992","352,7101","182,601"
144,"2827,34","H","2,463992","352,7101","182,601"
145,"2845,1897","H","2,454152","352,7147","182,4842"
146,"2867,8156","H","2,454152","352,7147","182,4842"
147,"2886,9851","H","2,454152","352,7147","182,4842"
148,"2907,0007","H","2,454152","352,7147","182,4842"
149,"2926,866","H","2,454152","352,7147","182,4842"
150,"2947,1229","H","2,463992","352,7101","182,601"
151,"2967,8041","H","2,463992","352,7101","182,601"
152,"2985,3865","H","2,463992","352,7101","182,601"
153,"3006,8361","H","2,463992","352,7101","182,601"
154,"3027,0539","H","2,463992","352,7101","182,601"
155,"3046,6972","H","2,463992","352,7101","182,601"
156,"3067,2716","H","2,573191","352,8341","182,594"
157,"3087,5661","H","2,573191","352,8341","182,594"
158,"3106,4488","H","2,573191","352,8341","182,594"
159,"3126,5254","H","2,573191","352,8341","182,594"
160,"3146,2708","H","2,573191","352,8341","182,594"
161,"3165,4857","H","2,573191","352,8341","182,594"
162,"3186,5717","H","2,575922","352,827","182,5965"
163,"3206,487","H","2,575922","352,827","182,5965"
164,"3226,6636","H","2,575922","352,827","182,5965"
165,"3246,0527","H","2,575922","352,827","182,5965"
166,"3265,4941","H","2,575922","352,827","182,5965"
167,"3287,2236","H","2,678254","352,7093","182,3575"
168,"3305,5582","H","2,678254","352,7093","182,3575"
169,"3326,8375","H","2,678254","352,7093","182,3575"
170,"3347,3516","H","2,678254","352,7093","182,3575"
171,"3366,9009","H","2,678254","352,7093","182,3575"
172,"3386,9004","H","2,678254","352,7093","182,3575"
173,"3405,9031","H","2,67102","352,7065","182,243"
174,"3426,1484","H","2,67102","352,7065","182,243"
175,"3446,984","H","2,67102","352,7065","182,243"
176,"3467,2892","H","2,67102","352,7065","182,243"
177,"3486,289","H","2,67102","352,7065","182,243"
178,"3506,5687","H","2,67102","352,7065","182,243"
179,"3526,5905","H","2,782463","352,7158","182,2337"
180,"3545,3126","H","2,782463","352,7158","182,2337"
181,"3566,7489","H","2,782463","352,7158","182,2337"
182,"3586,4854","H","2,782463","352,7158","182,2337"
183,"3606,8377","H","2,782463","352,7158","182,2337"
184,"3627,5849","H","2,778148","352,7056","182,1213"
185,"3646,3387","H","2,778148","352,7056","182,1213"
186,"3666,413","H","2,778148","352,7056","182,1213"
187,"3686,8047","H","2,778148","352,7056","182,1213"
188,"3705,8903","H","2,778148","352,7056","182,1213"
189,"3726,1234","H","2,778148","352,7056","182,1213"
190,"3746,2062","H","2,785383","352,7085","182,2358"
191,"3765,8107","H","2,785383","352,7085","182,2358"
192,"3786,05","H","2,785383","352,7085","182,2358"
193,"3806,4289","H","2,785383","352,7085","182,2358"
194,"3825,5036","H","2,785383","352,7085","182,2358"
195,"3847,3593","H","2,675146","352,4775","182,2374"
196,"3866,2317","H","2,675146","352,4775","182,2374"
197,"3886,0643","H","2,675146","352,4775","182,2374"
198,"3906,7619","H","2,675146","352,4775","182,2374"
199,"3926,082","H","2,675146","352,4775","182,2374"
200,"3945,7337","H","2,675146","352,4775","182,2374"
201,"3966,6431","H","2,690062","352,4832","182,4663"
202,"3985,5147","H","2,690062","352,4832","182,4663"
203,"4006,4795","H","2,690062","352,4832","182,4663"
204,"4025,9263","H","2,690062","352,4832","182,4663"
205,"4046,4866","H","2,690062","352,4832","182,4663"
206,"4066,8859","H","2,737629","352,3861","183,15"
207,"4086,6672","H","2,737629","352,3861","183,15"
208,"4106,4914","H","2,737629","352,3861","183,15"
209,"4125,4039","H","2,737629","352,3861","183,15"
210,"4146,5964","H","2,737629","352,3861","183,15"
211,"4166,6443","H","2,737629","352,3861","183,15"
212,"4186,3803","H","2,600628","351,9509","184,2972"
213,"4205,9478","H","2,600628","351,9509","184,2972"
214,"4226,3706","H","2,600628","351,9509","184,2972"
215,"4246,7666","H","2,600628","351,9509","184,2972"
216,"4265,8777","H","2,600628","351,9509","184,2972"
217,"4285,5519","H","2,589493","351,5104","185,4408"
218,"4306,2579","H","2,589493","351,5104","185,4408"
219,"4326,9483","H","2,589493","351,5104","185,4408"
220,"4347,0142","H","2,589493","351,5104","185,4408"
221,"4366,2972","H","2,589493","351,5104","185,4408"
222,"4386,9043","H","2,589493","351,5104","185,4408"
223,"4406,2659","H","2,591364","351,279","185,3206"
224,"4426,5827","H","2,591364","351,279","185,3206"
225,"4446,1491","H","2,591364","351,279","185,3206"
226,"4465,824","H","2,591364","351,279","185,3206"
227,"4486,5347","H","2,591364","351,279","185,3206"
228,"4505,6259","H","2,569313","351,3873","185,0951"
229,"4526,9988","H","2,569313","351,3873","185,0951"
230,"4545,339","H","2,569313","351,3873","185,0951"
231,"4566,9055","H","2,569313","351,3873","185,0951"
232,"4587,5697","H","2,569313","351,3873","185,0951"
233,"4607,0702","H","2,569313","351,3873","185,0951"
234,"4626,6656","H","2,676925","351,738","185,2101"
235,"4645,7964","H","2,676925","351,738","185,2101"
236,"4666,0572","H","2,676925","351,738","185,2101"
237,"4685,7775","H","2,676925","351,738","185,2101"
238,"4706,2901","H","2,676925","351,738","185,2101"
239,"4726,6142","H","2,676925","351,738","185,2101"
240,"4746,7271","H","2,791078","351,743","185,2019"
241,"4767,0316","H","2,791078","351,743","185,2019"
242,"4786,2754","H","2,791078","351,743","185,2019"
243,"4806,7891","H","2,791078","351,743","185,2019"
244,"4826,2439","H","2,791078","351,743","185,2019"
245,"4846,7232","H","2,779594","351,6224","184,9702"
246,"4867,2576","H","2,779594","351,6224","184,9702"
247,"4887,5985","H","2,779594","351,6224","184,9702"
248,"4907,4101","H","2,779594","351,6224","184,9702"
249,"4926,1221","H","2,779594","351,6224","184,9702"
250,"4946,582","H","2,779594","351,6224","184,9702"
251,"4966,3633","H","2,738309","351,607","184,3986"
252,"4986,0883","H","2,738309","351,607","184,3986"
253,"5006,9272","H","2,738309","351,607","184,3986"
254,"5027,4107","H","2,738309","351,607","184,3986"
255,"5046,6794","H","2,738309","351,607","184,3986"
256,"5066,5174","H","2,74658","351,61","184,513"
257,"5086,38","H","2,74658","351,61","184,513"
258,"5106,1741","H","2,74658","351,61","184,513"
259,"5126,6407","H","2,74658","351,61","184,513"
260,"5146,6358","H","2,74658","351,61","184,513"
261,"5166,6677","H","2,74658","351,61","184,513"
262,"5187,0785","H","2,636697","351,4914","184,5183"
263,"5207,2196","H","2,636697","351,4914","184,5183"
264,"5226,5837","H","2,636697","351,4914","184,5183"
265,"5247,9279","H","2,636697","351,4914","184,5183"
266,"5266,6704","H","2,636697","351,4914","184,5183"
