Var1,Var2,Var3,Var11,Var12,Var13
132,"2589,4013","H","356,7792","325,522","176,1978"
133,"2608,6049","H","356,7792","325,522","176,1978"
134,"2630,2581","H","356,7792","325,522","176,1978"
135,"2650,003","H","356,7792","325,522","176,1978"
136,"2668,8502","H","356,7792","325,522","176,1978"
137,"2688,8865","H","356,7792","325,522","176,1978"
138,"2710,0094","H","356,7792","325,522","176,1978"
139,"2729,9471","H","356,7792","325,522","176,1978"
140,"2749,7632","H","356,7792","325,522","176,1978"
141,"2769,2555","H","359,756","352,319","179,7867"
142,"2789,8384","H","359,756","352,319","179,7867"
143,"2809,4536","H","359,756","352,319","179,7867"
144,"2828,8281","H","359,756","352,319","179,7867"
145,"2848,6223","H","359,756","352,319","179,7867"
146,"2868,0431","H","359,756","352,319","179,7867"
147,"2890,0754","H","0,5689002","359,4231","179,195"
148,"2910,4507","H","0,5689002","359,4231","179,195"
149,"2931,4242","H","0,5689002","359,4231","179,195"
150,"2949,6092","H","0,5689002","359,4231","179,195"
151,"2968,9816","H","0,5689002","359,4231","179,195"
152,"2988,9142","H","0,5689002","359,4231","179,195"
153,"3009,2719","H","1,177657","4,00407","179,1236"
154,"3029,0491","H","1,177657","4,00407","179,1236"
155,"3049,3123","H","1,177657","4,00407","179,1236"
156,"3069,0453","H","1,177657","4,00407","179,1236"
157,"3088,228","H","1,177657","4,00407","179,1236"
158,"3108,0243","H","1,177657","4,00407","179,1236"
159,"3130,2088","H","1,664572","7,906298","179,1956"
160,"3150,316","H","1,664572","7,906298","179,1956"
161,"3168,4354","H","1,664572","7,906298","179,1956"
162,"3190,0149","H","1,664572","7,906298","179,1956"
163,"3209,7459","H","1,664572","7,906298","179,1956"
164,"3229,1047","H","2,276372","12,50021","179,2118"
165,"3250,3727","H","2,276372","12,50021","179,2118"
166,"3269,1875","H","2,276372","12,50021","179,2118"
167,"3289,7412","H","2,276372","12,50021","179,2118"
168,"3308,7876","H","2,276372","12,50021","179,2118"
169,"3329,9488","H","2,276372","12,50021","179,2118"
170,"3349,472","H","2,42368","15,27015","179,1687"
171,"3371,077","H","2,42368","15,27015","179,1687"
172,"3388,1721","H","2,42368","15,27015","179,1687"
173,"3408,2612","H","2,42368","15,27015","179,1687"
174,"3429,9937","H","2,42368","15,27015","179,1687"
175,"3449,5837","H","2,201109","15,74115","179,1469"
176,"3469,6063","H","2,201109","15,74115","179,1469"
177,"3489,445","H","2,201109","15,74115","179,1469"
178,"3508,3119","H","2,201109","15,74115","179,1469"
179,"3529,0131","H","2,201109","15,74115","179,1469"
180,"3549,5739","H","2,201109","15,74115","179,1469"
181,"3569,102","H","2,282857","13,42442","179,2301"
182,"3589,9239","H","2,282857","13,42442","179,2301"
183,"3609,6803","H","2,282857","13,42442","179,2301"
184,"3628,2505","H","2,282857","13,42442","179,2301"
185,"3647,9216","H","2,282857","13,42442","179,2301"
186,"3668,7383","H","2,282857","13,42442","179,2301"
187,"3688,2017","H","1,580853","9,065944","180,3552"
188,"3708,8463","H","1,580853","9,065944","180,3552"
189,"3729,3084","H","1,580853","9,065944","180,3552"
190,"3750,2805","H","1,580853","9,065944","180,3552"
191,"3768,3468","H","1,580853","9,065944","180,3552"
192,"3790,2037","H","2,143547","355,9138","182,2173"
193,"3808,7941","H","2,143547","355,9138","182,2173"
194,"3828,6464","H","2,143547","355,9138","182,2173"
195,"3849,2955","H","2,143547","355,9138","182,2173"
196,"3869,728","H","2,143547","355,9138","182,2173"
197,"3888,8275","H","2,143547","355,9138","182,2173"
198,"3908,1688","H","3,710566","338,6643","184,2039"
199,"3928,8458","H","3,710566","338,6643","184,2039"
200,"3949,6175","H","3,710566","338,6643","184,2039"
201,"3969,339","H","3,710566","338,6643","184,2039"
202,"3988,6016","H","3,710566","338,6643","184,2039"
203,"4008,9052","H","4,588198","326,9373","186,1781"
204,"4030,4463","H","4,588198","326,9373","186,1781"
205,"4049,7736","H","4,588198","326,9373","186,1781"
206,"4069,332","H","4,588198","326,9373","186,1781"
207,"4088,1582","H","4,588198","326,9373","186,1781"
208,"4109,9232","H","4,588198","326,9373","186,1781"
209,"4129,501","H","4,994823","321,1559","187,2499"
210,"4149,1928","H","4,994823","321,1559","187,2499"
211,"4169,5526","H","4,994823","321,1559","187,2499"
212,"4188,8321","H","4,994823","321,1559","187,2499"
213,"4208,243","H","4,994823","321,1559","187,2499"
214,"4229,4543","H","5,406605","319,7197","187,0663"
215,"4249,0382","H","5,406605","319,7197","187,0663"
216,"4269,1817","H","5,406605","319,7197","187,0663"
217,"4288,4865","H","5,406605","319,7197","187,0663"
218,"4309,5645","H","5,406605","319,7197","187,0663"
219,"4328,6088","H","5,406605","319,7197","187,0663"
220,"4348,9853","H","5,800584","320,4832","187,3106"
221,"4369,6561","H","5,800584","320,4832","187,3106"
222,"4388,592","H","5,800584","320,4832","187,3106"
223,"4408,5295","H","5,800584","320,4832","187,3106"
224,"4430,0139","H","5,800584","320,4832","187,3106"
225,"4450,5023","H","6,18205","322,5724","187,854"
226,"4469,0887","H","6,18205","322,5724","187,854"
227,"4490,0441","H","6,18205","322,5724","187,854"
228,"4508,553","H","6,18205","322,5724","187,854"
229,"4529,6491","H","6,18205","322,5724","187,854"
230,"4549,2217","H","6,18205","322,5724","187,854"
231,"4570,1263","H","6,475577","324,4716","188,9011"
232,"4589,3194","H","6,475577","324,4716","188,9011"
233,"4608,368","H","6,475577","324,4716","188,9011"
234,"4628,8499","H","6,475577","324,4716","188,9011"
235,"4649,1772","H","6,475577","324,4716","188,9011"
