Var11,Var12,Var13
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"0","0","0"
"355,1647","171,5626","166,2923"
"355,1647","171,5626","166,2923"
"355,1647","171,5626","166,2923"
"355,1647","171,5626","166,2923"
"355,1647","171,5626","166,2923"
"354,9818","171,6792","166,7574"
"354,9818","171,6792","166,7574"
"354,9818","171,6792","166,7574"
"354,9818","171,6792","166,7574"
"354,9818","171,6792","166,7574"
"354,9818","171,6792","166,7574"
"354,7548","171,7048","166,7728"
"354,7548","171,7048","166,7728"
"354,7548","171,7048","166,7728"
"354,7548","171,7048","166,7728"
"354,7548","171,7048","166,7728"
"354,6878","171,9406","167,0085"
"354,6878","171,9406","167,0085"
"354,6878","171,9406","167,0085"
"354,6878","171,9406","167,0085"
"354,6878","171,9406","167,0085"
"354,6878","171,9406","167,0085"
"354,7468","172,2642","167,3321"
"354,7468","172,2642","167,3321"
"354,7468","172,2642","167,3321"
"354,7468","172,2642","167,3321"
"354,7468","172,2642","167,3321"
"355,0534","172,1306","166,9745"
"355,0534","172,1306","166,9745"
"355,0534","172,1306","166,9745"
"355,0534","172,1306","166,9745"
"355,0534","172,1306","166,9745"
"355,0534","172,1306","166,9745"
"355,1275","171,5311","167,3377"
"355,1275","171,5311","167,3377"
"355,1275","171,5311","167,3377"
"355,1275","171,5311","167,3377"
"355,1275","171,5311","167,3377"
"355,0577","170,237","168,1995"
"355,0577","170,237","168,1995"
"355,0577","170,237","168,1995"
"355,0577","170,237","168,1995"
"355,0577","170,237","168,1995"
"355,0577","170,237","168,1995"
"355,2891","169,8498","168,6537"
"355,2891","169,8498","168,6537"
"355,2891","169,8498","168,6537"
"355,2891","169,8498","168,6537"
"355,2891","169,8498","168,6537"
"355,2081","170,2026","168,646"
"355,2081","170,2026","168,646"
"355,2081","170,2026","168,646"
"355,2081","170,2026","168,646"
"355,2081","170,2026","168,646"
"355,2081","170,2026","168,646"
"355,0135","170,5665","168,6468"
"355,0135","170,5665","168,6468"
"355,0135","170,5665","168,6468"
"355,0135","170,5665","168,6468"
"355,0135","170,5665","168,6468"
"355,0135","170,5665","168,6468"
"355,0303","170,6893","168,6518"
"355,0303","170,6893","168,6518"
"355,0303","170,6893","168,6518"
"355,0303","170,6893","168,6518"
"355,0303","170,6893","168,6518"
"354,9662","171,0305","168,8708"
"354,9662","171,0305","168,8708"
"354,9662","171,0305","168,8708"
"354,9662","171,0305","168,8708"
"354,9662","171,0305","168,8708"
"354,9662","171,0305","168,8708"
"354,9813","171,4473","170,0075"
"354,9813","171,4473","170,0075"
"354,9813","171,4473","170,0075"
"354,9813","171,4473","170,0075"
"354,9813","171,4473","170,0075"
"355,0935","171,7417","171,1424"
"355,0935","171,7417","171,1424"
"355,0935","171,7417","171,1424"
"355,0935","171,7417","171,1424"
"355,0935","171,7417","171,1424"
"355,0935","171,7417","171,1424"
"355,1462","171,8364","171,7167"
"355,1462","171,8364","171,7167"
"355,1462","171,8364","171,7167"
"355,1462","171,8364","171,7167"
"355,1462","171,8364","171,7167"
"355,0402","171,9587","171,7189"
"355,0402","171,9587","171,7189"
"355,0402","171,9587","171,7189"
"355,0402","171,9587","171,7189"
"355,0402","171,9587","171,7189"
"355,0402","171,9587","171,7189"
"355,0481","172,073","171,7134"
"355,0481","172,073","171,7134"
"355,0481","172,073","171,7134"
"355,0481","172,073","171,7134"
"355,0481","172,073","171,7134"
"355,5775","172,0563","174,324"
"355,5775","172,0563","174,324"
"355,5775","172,0563","174,324"
"355,5775","172,0563","174,324"
"355,5775","172,0563","174,324"
"355,5775","172,0563","174,324"
"356,6649","172,0351","181,6114"
"356,6649","172,0351","181,6114"
"356,6649","172,0351","181,6114"
"356,6649","172,0351","181,6114"
"356,6649","172,0351","181,6114"
"356,6649","172,0351","181,6114"
"357,9241","171,7695","189,5813"
"357,9241","171,7695","189,5813"
"357,9241","171,7695","189,5813"
"357,9241","171,7695","189,5813"
"357,9241","171,7695","189,5813"
"359,0203","171,287","195,9934"
"359,0203","171,287","195,9934"
"359,0203","171,287","195,9934"
"359,0203","171,287","195,9934"
"359,0203","171,287","195,9934"
"359,0203","171,287","195,9934"
"-0,003207948","171,0234","200,5688"
"-0,003207948","171,0234","200,5688"
"-0,003207948","171,0234","200,5688"
"-0,003207948","171,0234","200,5688"
"-0,003207948","171,0234","200,5688"
"1,240202","170,6384","204,8189"
"1,240202","170,6384","204,8189"
"1,240202","170,6384","204,8189"
"1,240202","170,6384","204,8189"
"1,240202","170,6384","204,8189"
"1,240202","170,6384","204,8189"
"2,275346","170,516","208,2742"
"2,275346","170,516","208,2742"
"2,275346","170,516","208,2742"
"2,275346","170,516","208,2742"
"2,275346","170,516","208,2742"
"2,737083","171,1123","211,3463"
"2,737083","171,1123","211,3463"
"2,737083","171,1123","211,3463"
"2,737083","171,1123","211,3463"
"2,737083","171,1123","211,3463"
"2,737083","171,1123","211,3463"
"2,348097","172,8027","214,3617"
