Var1,Var2,Var3,Var11,Var12,Var13
120,"2354,6282","H","358,17","354,3356","175,5002"
121,"2375,6116","H","358,17","354,3356","175,5002"
122,"2393,7037","H","358,17","354,3356","175,5002"
123,"2414,5382","H","358,17","354,3356","175,5002"
124,"2434,1194","H","358,17","354,3356","175,5002"
125,"2453,8272","H","358,17","354,3356","175,5002"
126,"2474,8979","H","358,17","354,3356","175,5002"
127,"2494,6514","H","358,17","354,3356","175,5002"
128,"2514,9931","H","358,3014","354,9052","175,3706"
129,"2534,8967","H","358,3014","354,9052","175,3706"
130,"2556,0639","H","358,3014","354,9052","175,3706"
131,"2574,2528","H","358,3014","354,9052","175,3706"
132,"2595,381","H","358,3014","354,9052","175,3706"
133,"2613,6886","H","358,3014","354,9052","175,3706"
134,"2635,0146","H","358,1825","354,7953","175,3776"
135,"2654,46","H","358,1825","354,7953","175,3776"
136,"2675,2441","H","358,1825","354,7953","175,3776"
137,"2695,2377","H","358,1825","354,7953","175,3776"
138,"2715,1045","H","358,1825","354,7953","175,3776"
139,"2733,5491","H","358,1825","354,7953","175,3776"
140,"2754,1576","H","358,187","354,9098","175,3756"
141,"2774,7661","H","358,187","354,9098","175,3756"
142,"2794,4863","H","358,187","354,9098","175,3756"
143,"2814,6215","H","358,187","354,9098","175,3756"
144,"2834,7967","H","358,187","354,9098","175,3756"
145,"2854,1589","H","358,1971","354,9057","175,6045"
146,"2874,0654","H","358,1971","354,9057","175,6045"
147,"2895,1013","H","358,1971","354,9057","175,6045"
148,"2914,5774","H","358,1971","354,9057","175,6045"
149,"2933,9272","H","358,1971","354,9057","175,6045"
150,"2954,7838","H","358,1971","354,9057","175,6045"
151,"2974,4055","H","358,2148","354,6669","176,1807"
152,"2995,5362","H","358,2148","354,6669","176,1807"
153,"3014,4135","H","358,2148","354,6669","176,1807"
154,"3035,2172","H","358,2148","354,6669","176,1807"
155,"3053,9211","H","358,2148","354,6669","176,1807"
156,"3074,549","H","358,2148","354,6669","176,1807"
157,"3095,643","H","358,0259","354,0804","177,3469"
158,"3114,7068","H","358,0259","354,0804","177,3469"
159,"3135,1325","H","358,0259","354,0804","177,3469"
160,"3154,6372","H","358,0259","354,0804","177,3469"
161,"3175,164","H","358,0259","354,0804","177,3469"
162,"3195,2346","H","357,8433","352,4258","180,3724"
