Var1,Var2,Var3,Var11,Var12,Var13
121,"2368,0641","H","1,944312","270,327","180,1676"
122,"2385,2075","H","1,944312","270,327","180,1676"
123,"2407,0737","H","1,944312","270,327","180,1676"
124,"2426,2357","H","1,944312","270,327","180,1676"
125,"2449,3804","H","1,944312","270,327","180,1676"
126,"2464,8528","H","1,944312","270,327","180,1676"
127,"2485,1412","H","1,944312","270,327","180,1676"
128,"2502,5986","H","2,493967","267,39","179,2138"
129,"2524,2339","H","2,493967","267,39","179,2138"
130,"2541,6655","H","2,493967","267,39","179,2138"
131,"2563,6349","H","2,493967","267,39","179,2138"
132,"2583,5608","H","2,493967","267,39","179,2138"
133,"2603,5855","H","2,493967","267,39","179,2138"
134,"2621,6185","H","2,493967","267,39","179,2138"
135,"2643,0648","H","2,494499","265,2845","179,4915"
136,"2663,6455","H","2,494499","265,2845","179,4915"
137,"2681,7092","H","2,494499","265,2845","179,4915"
138,"2703,5437","H","2,494499","265,2845","179,4915"
139,"2722,8181","H","2,494499","265,2845","179,4915"
140,"2744,1306","H","2,195616","265,3829","180,1548"
141,"2763,978","H","2,195616","265,3829","180,1548"
142,"2783,6859","H","2,195616","265,3829","180,1548"
143,"2804,1736","H","2,195616","265,3829","180,1548"
144,"2822,848","H","2,195616","265,3829","180,1548"
145,"2843,1994","H","2,195616","265,3829","180,1548"
146,"2862,7811","H","2,114847","266,4401","180,2584"
147,"2882,6436","H","2,114847","266,4401","180,2584"
148,"2902,6113","H","2,114847","266,4401","180,2584"
149,"2922,9697","H","2,114847","266,4401","180,2584"
150,"2942,5479","H","2,114847","266,4401","180,2584"
151,"2963,5902","H","2,350534","267,7319","180,0345"
152,"2983,7269","H","2,350534","267,7319","180,0345"
153,"3004,5522","H","2,350534","267,7319","180,0345"
154,"3024,8797","H","2,350534","267,7319","180,0345"
155,"3042,5847","H","2,350534","267,7319","180,0345"
156,"3064,2551","H","2,350534","267,7319","180,0345"
157,"3082,7238","H","2,594402","268,783","179,9724"
158,"3102,6711","H","2,594402","268,783","179,9724"
159,"3122,811","H","2,594402","268,783","179,9724"
160,"3142,737","H","2,594402","268,783","179,9724"
161,"3163,1546","H","2,594402","268,783","179,9724"
162,"3184,4995","H","2,594402","268,783","179,9724"
163,"3201,773","H","2,754804","269,5135","179,9883"
164,"3223,7659","H","2,754804","269,5135","179,9883"
165,"3242,7046","H","2,754804","269,5135","179,9883"
166,"3261,9165","H","2,754804","269,5135","179,9883"
167,"3283,2195","H","2,754804","269,5135","179,9883"
168,"3306,3417","H","2,999997","270,079","179,921"
169,"3323,6791","H","2,999997","270,079","179,921"
