Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;0; Device
1;11,9278; 29/11/2021 11:07:39
2;11,9278;H;0;1,5;0;1;0;0;0;0;0;0
2;11,9278;L;0;1;0;1;0;0;0;0;0;0
2;11,9278;R;0;1;0;1;0;0;0;0;0;0
3;22,1874;H;0;1,5;0;1;0;0;0;0;0;0
3;22,1874;L;0;1;0;1;0;0;0;0;0;0
3;22,1874;R;0;1;0;1;0;0;0;0;0;0
4;43,3231;H;0;1,5;0;1;0;0;0;0;0;0
4;43,3231;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
4;43,3231;R;0;1;0;1;0;0;0;0;0;0
5;62,4608;H;0;1,5;0;1;0;0;0;0;0;0
5;62,4608;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
5;62,4608;R;0;1;0;1;0;0;0;0;0;0
6;81,6979;H;0;1,5;0;1;0;0;0;0;0;0
6;81,6979;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
6;81,6979;R;0;1;0;1;0;0;0;0;0;0
7;101,8929;H;0;1,5;0;1;0;0;0;0;0;0
7;101,8929;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
7;101,8929;R;0;1;0;1;0;0;0;0;0;0
8;122,2418;H;0;1,5;0;1;0;0;0;0;0;0
8;122,2418;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
8;122,2418;R;0;1;0;1;0;0;0;0;0;0
9;140,7919;H;0;1,5;0;1;0;0;0;0;0;0
9;140,7919;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
9;140,7919;R;0;1;0;1;0;0;0;0;0;0
10;162,6417;H;0;1,5;0;1;0;0;0;0;0;0
10;162,6417;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
10;162,6417;R;0;1;0;1;0;0;0;0;0;0
11;181,7719;H;0;1,5;0;1;0;0;0;0;0;0
11;181,7719;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
11;181,7719;R;0;1;0;1;0;0;0;0;0;0
12;202,1234;H;0;1,5;0;1;0;0;0;0;0;0
12;202,1234;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
12;202,1234;R;0;1;0;1;0;0;0;0;0;0
13;222,9317;H;0;1,5;0;1;0;0;0;0;0;0
13;222,9317;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
13;222,9317;R;0;1;0;1;0;0;0;0;0;0
14;242,0429;H;0;1,5;0;1;0;0;0;0;0;0
14;242,0429;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
14;242,0429;R;0;1;0;1;0;0;0;0;0;0
15;262,5974;H;0;1,5;0;1;0;0;0;0;0;0
15;262,5974;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
15;262,5974;R;0;1;0;1;0;0;0;0;0;0
16;281,7173;H;0;1,5;0;1;0;0;0;0;0;0
16;281,7173;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
16;281,7173;R;0;1;0;1;0;0;0;0;0;0
17;302,3523;H;0;1,5;0;1;0;0;0;0;0;0
17;302,3523;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
17;302,3523;R;0;1;0;1;0;0;0;0;0;0
18;322,5924;H;0;1,5;0;1;0;0;0;0;0;0
18;322,5924;L;35,079;0,84;24,884;0,9111476;0,2330378;0,2050332;-0,2710439;32,39883;17,03146;331,8486
18;322,5924;R;0;1;0;1;0;0;0;0;0;0
