Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;11,2726; Device
1;16,6043; 04/11/2021 17:40:16
2;16,6043;H;0;1,5;0;1;0;0;0;0;0;0
2;16,6043;L;0;1;0;1;0;0;0;0;0;0
2;16,6043;R;0;1;0;1;0;0;0;0;0;0
3;36,4964;H;0;1,5;0;1;0;0;0;0;0;0
3;36,4964;L;0;1;0;1;0;0;0;0;0;0
3;36,4964;R;0;1;0;1;0;0;0;0;0;0
4;57,5247;H;0;1,5;0;1;0;0;0;0;0;0
4;57,5247;L;34,866;0,79;25,017;0,9754356;0,1490666;0,1200536;-0,1090487;18,48118;12,27862;349,2473
4;57,5247;R;0;1;0;1;0;0;0;0;0;0
5;76,1996;H;0;1,5;0;1;0;0;0;0;0;0
5;76,1996;L;34,866;0,79;25,017;0,9754356;0,1490666;0,1200536;-0,1090487;18,48118;12,27862;349,2473
5;76,1996;R;0;1;0;1;0;0;0;0;0;0
6;96,5577;H;0;1,5;0;1;0;0;0;0;0;0
6;96,5577;L;34,866;0,79;25,017;0,9754356;0,1490666;0,1200536;-0,1090487;18,48118;12,27862;349,2473
6;96,5577;R;0;1;0;1;0;0;0;0;0;0
7;116,7932;H;0;1,5;0;1;0;0;0;0;0;0
7;116,7932;L;34,866;0,79;25,017;0,9754356;0,1490666;0,1200536;-0,1090487;18,48118;12,27862;349,2473
7;116,7932;R;0;1;0;1;0;0;0;0;0;0
8;136,3984;H;0;1,5;0;1;0;0;0;0;0;0
8;136,3984;L;34,866;0,79;25,017;0,9754356;0,1490666;0,1200536;-0,1090487;18,48118;12,27862;349,2473
8;136,3984;R;0;1;0;1;0;0;0;0;0;0
9;155,3964;H;0;1,5;0;1;0;0;0;0;0;0
9;155,3964;L;34,866;0,79;25,017;0,9754356;0,1490666;0,1200536;-0,1090487;18,48118;12,27862;349,2473
9;155,3964;R;0;1;0;1;0;0;0;0;0;0
10;177,344;H;0;1,5;0;1;0;0;0;0;0;0
10;177,344;L;34,866;0,79;25,017;0,9754356;0,1490666;0,1200536;-0,1090487;18,48118;12,27862;349,2473
10;177,344;R;0;1;0;1;0;0;0;0;0;0
11;197,4304;H;0;1,5;0;1;0;0;0;0;0;0
11;197,4304;L;34,866;0,79;25,017;0,9754356;0,1490666;0,1200536;-0,1090487;18,48118;12,27862;349,2473
11;197,4304;R;0;1;0;1;0;0;0;0;0;0
12;216,4602;H;0;1,5;0;1;0;0;0;0;0;0
