Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
25;478,503;H;0;1,5;0;1;0;0;0;0;0;0
25;478,503;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
25;478,503;R;0;1;0;1;0;0;0;0;0;0
26;497,1765;H;0;1,5;0;1;0;0;0;0;0;0
26;497,1765;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
26;497,1765;R;0;1;0;1;0;0;0;0;0;0
27;518,6967;H;0;1,5;0;1;0;0;0;0;0;0
27;518,6967;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
27;518,6967;R;0;1;0;1;0;0;0;0;0;0
28;539,8032;H;0;1,5;0;1;0;0;0;0;0;0
28;539,8032;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
28;539,8032;R;0;1;0;1;0;0;0;0;0;0
29;559,8928;H;0;1,5;0;1;0;0;0;0;0;0
29;559,8928;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
29;559,8928;R;0;1;0;1;0;0;0;0;0;0
30;577,7797;H;0;1,5;0;1;0;0;0;0;0;0
30;577,7797;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
30;577,7797;R;0;1;0;1;0;0;0;0;0;0
31;597,2697;H;0;1,5;0;1;0;0;0;0;0;0
31;597,2697;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
31;597,2697;R;0;1;0;1;0;0;0;0;0;0
32;619,3928;H;0;1,5;0;1;0;0;0;0;0;0
32;619,3928;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
32;619,3928;R;0;1;0;1;0;0;0;0;0;0
33;637,0277;H;0;1,5;0;1;0;0;0;0;0;0
33;637,0277;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
33;637,0277;R;0;1;0;1;0;0;0;0;0;0
34;657,0762;H;0;1,5;0;1;0;0;0;0;0;0
34;657,0762;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
34;657,0762;R;0;1;0;1;0;0;0;0;0;0
35;678,4715;H;0;1,5;0;1;0;0;0;0;0;0
35;678,4715;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
35;678,4715;R;0;1;0;1;0;0;0;0;0;0
36;699,7747;H;0;1,5;0;1;0;0;0;0;0;0
36;699,7747;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
36;699,7747;R;0;1;0;1;0;0;0;0;0;0
37;718,8159;H;0;1,5;0;1;0;0;0;0;0;0
37;718,8159;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
37;718,8159;R;0;1;0;1;0;0;0;0;0;0
38;738,4144;H;0;1,5;0;1;0;0;0;0;0;0
38;738,4144;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
38;738,4144;R;0;1;0;1;0;0;0;0;0;0
39;757,5779;H;0;1,5;0;1;0;0;0;0;0;0
39;757,5779;L;34,505;0,746;25,067;0,7975953;0,2768596;0,3688129;-0,3888027;46,75533;32,98991;322,6133
39;757,5779;R;0;1;0;1;0;0;0;0;0;0
40;778,4586;H;0;1,5;0;1;0;0;0;0;0;0
