Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;10,8052; Device
1;16,2629; 18/10/2021 10:13:46 a, m,
2;16,2629;H;0;1,5;0;1;0;0;0;0;0;0
2;16,2629;L;0;1;0;1;0;0;0;0;0;0
2;16,2629;R;0;1;0;1;0;0;0;0;0;0
3;37,519;H;0;1,5;0;1;0;0;0;0;0;0
3;37,519;L;0;1;0;1;0;0;0;0;0;0
3;37,519;R;0;1;0;1;0;0;0;0;0;0
4;56,1061;H;0;1,5;0;1;0;0;0;0;0;0
4;56,1061;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
4;56,1061;R;0;1;0;1;0;0;0;0;0;0
5;75,5713;H;0;1,5;0;1;0;0;0;0;0;0
5;75,5713;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
5;75,5713;R;0;1;0;1;0;0;0;0;0;0
6;96,4209;H;0;1,5;0;1;0;0;0;0;0;0
6;96,4209;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
6;96,4209;R;0;1;0;1;0;0;0;0;0;0
7;117,9967;H;0;1,5;0;1;0;0;0;0;0;0
7;117,9967;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
7;117,9967;R;0;1;0;1;0;0;0;0;0;0
8;136,3779;H;0;1,5;0;1;0;0;0;0;0;0
8;136,3779;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
8;136,3779;R;0;1;0;1;0;0;0;0;0;0
9;156,6934;H;0;1,5;0;1;0;0;0;0;0;0
9;156,6934;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
9;156,6934;R;0;1;0;1;0;0;0;0;0;0
10;177,234;H;0;1,5;0;1;0;0;0;0;0;0
10;177,234;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
10;177,234;R;0;1;0;1;0;0;0;0;0;0
11;197,2095;H;0;1,5;0;1;0;0;0;0;0;0
11;197,2095;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
11;197,2095;R;0;1;0;1;0;0;0;0;0;0
12;216,1649;H;0;1,5;0;1;0;0;0;0;0;0
12;216,1649;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
12;216,1649;R;0;1;0;1;0;0;0;0;0;0
13;235,8902;H;0;1,5;0;1;0;0;0;0;0;0
13;235,8902;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
13;235,8902;R;0;1;0;1;0;0;0;0;0;0
14;256,2043;H;0;1,5;0;1;0;0;0;0;0;0
14;256,2043;L;35,475;1,313;24,866;0,6543567;-0,5272875;0,5412951;-0,02801527;318,72;100,8969;306,0612
14;256,2043;R;0;1;0;1;0;0;0;0;0;0
15;276,0988;H;0;1,5;0;1;0;0;0;0;0;0
