Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
0;0; Device
1;11,9412; 18/05/2021 07:19:15 p, m,
2;11,9412;H;0;1,5;0;1;0;0;0;0;0;0
2;11,9412;L;0;1;0;1;0;0;0;0;0;0
2;11,9412;R;0;1;0;1;0;0;0;0;0;0
3;31,6923;H;0;1,5;0;1;0;0;0;0;0;0
3;31,6923;L;0;1;0;1;0;0;0;0;0;0
3;31,6923;R;0;1;0;1;0;0;0;0;0;0
4;51,5941;H;0;1,5;0;1;0;0;0;0;0;0
4;51,5941;L;34,635;0,617;25,409;0,9030285;0,2760087;0,1440045;-0,2960093;35,71408;6,838462;325,9076
4;51,5941;R;0;1;0;1;0;0;0;0;0;0
5;70,5041;H;0;1,5;0;1;0;0;0;0;0;0
5;70,5041;L;34,635;0,617;25,409;0,9030285;0,2760087;0,1440045;-0,2960093;35,71408;6,838462;325,9076
5;70,5041;R;0;1;0;1;0;0;0;0;0;0
6;91,6791;H;0;1,5;0;1;0;0;0;0;0;0
6;91,6791;L;34,635;0,617;25,409;0,9030285;0,2760087;0,1440045;-0,2960093;35,71408;6,838462;325,9076
6;91,6791;R;0;1;0;1;0;0;0;0;0;0
7;113,0699;H;0;1,5;0;1;0;0;0;0;0;0
7;113,0699;L;34,635;0,617;25,409;0,9030285;0,2760087;0,1440045;-0,2960093;35,71408;6,838462;325,9076
7;113,0699;R;0;1;0;1;0;0;0;0;0;0
8;131,7743;H;0;1,5;0;1;0;0;0;0;0;0
8;131,7743;L;34,635;0,617;25,409;0,9030285;0,2760087;0,1440045;-0,2960093;35,71408;6,838462;325,9076
8;131,7743;R;0;1;0;1;0;0;0;0;0;0
9;152,3963;H;0;1,5;0;1;0;0;0;0;0;0
9;152,3963;L;34,635;0,617;25,409;0,9030285;0,2760087;0,1440045;-0,2960093;35,71408;6,838462;325,9076
9;152,3963;R;0;1;0;1;0;0;0;0;0;0
10;171,8937;H;0;1,5;0;1;0;0;0;0;0;0
